# Z-direction plane-averaged electrostatic potential
# iz   z(Angstrom)   V_avg(eV)
   307       24.81017157        4.26922608
   308       24.89098646        4.27326371
   309       24.97180135        4.27642539
   310       25.05261624        4.27874083
   311       25.13343114        4.28055914
   312       25.21424603        4.28184146
   313       25.29506092        4.28285846
   314       25.37587581        4.28353493
   315       25.45669070        4.28408243
   316       25.53750559        4.28441419
   317       25.61832048        4.28469562
   318       25.69913537        4.28484076
   319       25.77995026        4.28497615
   320       25.86076516        4.28502726
   321       25.94158005        4.28508743
   322       26.02239494        4.28509754
   323       26.10320983        4.28512109
   324       26.18402472        4.28511806
   325       26.26483961        4.28512546
   326       26.34565450        4.28512240
   327       26.42646939        4.28512212
   328       26.50728428        4.28512322
   329       26.58809918        4.28511823
   330       26.66891407        4.28512377
   331       26.74972896        4.28511482
   332       26.83054385        4.28512415
   333       26.91135874        4.28511194
   334       26.99217363        4.28512433
   335       27.07298852        4.28510959
   336       27.15380341        4.28512428
   337       27.23461831        4.28510776
   338       27.31543320        4.28512398
   339       27.39624809        4.28510644
   340       27.47706298        4.28512343
   341       27.55787787        4.28510559
   342       27.63869276        4.28512265
   343       27.71950765        4.28510519
   344       27.80032254        4.28512165
   345       27.88113743        4.28510518
   346       27.96195233        4.28512045
   347       28.04276722        4.28510552
   348       28.12358211        4.28511908
   349       28.20439700        4.28510614
   350       28.28521189        4.28511760
   351       28.36602678        4.28510700
   352       28.44684167        4.28511603
   353       28.52765656        4.28510802
   354       28.60847145        4.28511443
   355       28.68928635        4.28510915
   356       28.77010124        4.28511285
   357       28.85091613        4.28511036
   358       28.93173102        4.28511135
   359       29.01254591        4.28511165
   360       29.09336080        4.28511005
   361       29.17417569        4.25798374
   362       29.25499058        4.23085051
   363       29.33580547        4.20372652
   364       29.41662037        4.17659111
   365       29.49743526        4.14946915
   366       29.57825015        4.12233188
   367       29.65906504        4.09521160
   368       29.73987993        4.06807285
   369       29.82069482        4.04095384
   370       29.90150971        4.01381403
   371       29.98232460        3.98669586
   372       30.06313949        3.95955543
   373       30.14395439        3.93243767
   374       30.22476928        3.90529705
   375       30.30558417        3.87817926
   376       30.38639906        3.85103888
   377       30.46721395        3.82392064
   378       30.54802884        3.79678091
   379       30.62884373        3.76966184
   380       30.70965862        3.74252312
   381       30.79047351        3.71540287
   382       30.87128841        3.68826547
   383       30.95210330        3.66114376
   384       31.03291819        3.63400795
   385       31.11373308        3.60688454
   386       31.19454797        3.57975052
   387       31.27536286        3.55262526
   388       31.35617775        3.52549314
   389       31.43699264        3.49836594
   390       31.51780753        3.47123578
   391       31.59862243        3.44410662
   392       31.67943732        3.41697841
   393       31.76025221        3.38984733
   394       31.84106710        3.36272098
   395       31.92188199        3.33558811
   396       32.00269688        3.30846347
   397       32.08351177        3.28132898
   398       32.16432666        3.25420585
   399       32.24514155        3.22706998
   400       32.32595645        3.19994810
   401       32.40677134        3.17281112
   402       32.48758623        3.14569020
   403       32.56840112        3.11855242
   404       32.64921601        3.09143213
   405       32.73003090        3.06429388
   406       32.81084579        3.06430307
   407       32.89166068        3.06429385
   408       32.97247557        3.06430301
   409       33.05329047        3.06429400
   410       33.13410536        3.06430279
   411       33.21492025        3.06429430
   412       33.29573514        3.06430241
   413       33.37655003        3.06429475
   414       33.45736492        3.06430190
   415       33.53817981        3.06429532
   416       33.61899470        3.06430127
   417       33.69980959        3.06429600
   418       33.78062449        3.06430055
   419       33.86143938        3.06429676
   420       33.94225427        3.06429976
   421       34.02306916        3.06429757
   422       34.10388405        3.06429894
   423       34.18469894        3.06429840
   424       34.26551383        3.06429811
   425       34.34632872        3.06429922
   426       34.42714361        3.06429730
   427       34.50795851        3.06430001
   428       34.58877340        3.06429654
   429       34.66958829        3.06430073
   430       34.75040318        3.06429586
   431       34.83121807        3.06430136
   432       34.91203296        3.06429528
   433       34.99284785        3.06430188
   434       35.07366274        3.06429482
   435       35.15447763        3.06430228
   436       35.23529253        3.06429450
   437       35.31610742        3.06430253
   438       35.39692231        3.06429432
   439       35.47773720        3.06430264
   440       35.55855209        3.06429429
   441       35.63936698        3.06430259
   442       35.72018187        3.06429441
   443       35.80099676        3.06430239
   444       35.88181165        3.06429467
   445       35.96262655        3.06430206
   446       36.04344144        3.06429508
   447       36.12425633        3.06430159
   448       36.20507122        3.06429560
   449       36.28588611        3.06430102
