# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    3    35       0.28190198       2.90764615       1.47367797
    3    36       0.28190198       2.98955168       1.76455502
    3    37       0.28190198       3.07145720       1.99121784
    3    38       0.28190198       3.15336273       2.16482346
    3    39       0.28190198       3.23526825       2.29455615
    3    40       0.28190198       3.31717378       2.38938336
    3    41       0.28190198       3.39907931       2.45622524
    3    42       0.28190198       3.48098483       2.50121929
    3    43       0.28190198       3.56289036       2.52937938
    3    44       0.28190198       3.64479588       2.54507499
    3    45       0.28190198       3.72670141       2.55224969
    3    46       0.28190198       3.80860693       2.55390678
    3    47       0.28190198       3.89051246       2.55251825
    3    48       0.28190198       3.97241798       2.55011944
    3    49       0.28190198       4.05432351       2.54809848
    4     0       0.36244540       0.04095276       2.46379547
    4     1       0.36244540       0.12285829       2.46565445
    4     2       0.36244540       0.20476381       2.47075916
    4     3       0.36244540       0.28666934       2.47829815
    4     4       0.36244540       0.36857486       2.48667253
    4     5       0.36244540       0.45048039       2.49387624
    4     6       0.36244540       0.53238592       2.49734389
    4     7       0.36244540       0.61429144       2.49400286
    4     8       0.36244540       0.69619697       2.48027190
    4     9       0.36244540       0.77810249       2.45180741
    4    10       0.36244540       0.86000802       2.40439753
    4    11       0.36244540       0.94191354       2.33262545
    4    12       0.36244540       1.02381907       2.23074617
    4    13       0.36244540       1.10572459       2.09201966
    4    14       0.36244540       1.18763012       1.90891609
    4    15       0.36244540       1.26953564       1.67399792
    4    16       0.36244540       1.35144117       1.37893786
    4    17       0.36244540       1.43334669       1.01751144
    4    18       0.36244540       1.51525222       0.58662797
    4    19       0.36244540       1.59715775       0.08870773
    4    20       0.36244540       1.67906327      -0.45683571
    4    21       0.36244540       1.76096880      -1.00927363
    4    22       0.36244540       1.84287432      -1.51468582
    4    23       0.36244540       1.92477985      -1.91929840
    4    24       0.36244540       2.00668537      -2.18024093
    4    25       0.36244540       2.08859090      -2.27024257
    4    26       0.36244540       2.17049642      -2.18024368
    4    27       0.36244540       2.25240195      -1.91930353
    4    28       0.36244540       2.33430747      -1.51469265
    4    29       0.36244540       2.41621300      -1.00928125
    4    30       0.36244540       2.49811853      -0.45684317
    4    31       0.36244540       2.58002405       0.08870117
    4    32       0.36244540       2.66192958       0.58662274
    4    33       0.36244540       2.74383510       1.01750766
    4    34       0.36244540       2.82574063       1.37893542
    4    35       0.36244540       2.90764615       1.67399658
    4    36       0.36244540       2.98955168       1.90891558
    4    37       0.36244540       3.07145720       2.09201970
    4    38       0.36244540       3.15336273       2.23074658
    4    39       0.36244540       3.23526825       2.33262614
    4    40       0.36244540       3.31717378       2.40439839
    4    41       0.36244540       3.39907931       2.45180834
    4    42       0.36244540       3.48098483       2.48027284
    4    43       0.36244540       3.56289036       2.49400376
    4    44       0.36244540       3.64479588       2.49734473
    4    45       0.36244540       3.72670141       2.49387697
    4    46       0.36244540       3.80860693       2.48667315
    4    47       0.36244540       3.89051246       2.47829862
    4    48       0.36244540       3.97241798       2.47075948
    4    49       0.36244540       4.05432351       2.46565461
    5     0       0.44298883       0.04095276       2.35749156
    5     1       0.44298883       0.12285829       2.36066932
    5     2       0.44298883       0.20476381       2.36971267
    5     3       0.44298883       0.28666934       2.38362997
    5     4       0.44298883       0.36857486       2.40059598
    5     5       0.44298883       0.45048039       2.41827961
    5     6       0.44298883       0.53238592       2.43395445
    5     7       0.44298883       0.61429144       2.44449967
    5     8       0.44298883       0.69619697       2.44659792
    5     9       0.44298883       0.77810249       2.43611775
    5    10       0.44298883       0.86000802       2.40888780
    5    11       0.44298883       0.94191354       2.36062881
    5    12       0.44298883       1.02381907       2.28640076
    5    13       0.44298883       1.10572459       2.18134695
    5    14       0.44298883       1.18763012       2.03971540
    5    15       0.44298883       1.26953564       1.85622053
    5    16       0.44298883       1.35144117       1.62614619
    5    17       0.44298883       1.43334669       1.34585130
    5    18       0.44298883       1.51525222       1.01592060
    5    19       0.44298883       1.59715775       0.64190450
    5    20       0.44298883       1.67906327       0.23669226
    5    21       0.44298883       1.76096880      -0.17454966
    5    22       0.44298883       1.84287432      -0.55518332
    5    23       0.44298883       1.92477985      -0.86432668
    5    24       0.44298883       2.00668537      -1.06585756
    5    25       0.44298883       2.08859090      -1.13588684
    5    26       0.44298883       2.17049642      -1.06585980
    5    27       0.44298883       2.25240195      -0.86433084
    5    28       0.44298883       2.33430747      -0.55518882
    5    29       0.44298883       2.41621300      -0.17455576
    5    30       0.44298883       2.49811853       0.23668633
    5    31       0.44298883       2.58002405       0.64189935
    5    32       0.44298883       2.66192958       1.01591655
    5    33       0.44298883       2.74383510       1.34584839
    5    34       0.44298883       2.82574063       1.62614433
    5    35       0.44298883       2.90764615       1.85621956
    5    36       0.44298883       2.98955168       2.03971508
    5    37       0.44298883       3.07145720       2.18134709
    5    38       0.44298883       3.15336273       2.28640129
    5    39       0.44298883       3.23526825       2.36062960
    5    40       0.44298883       3.31717378       2.40888875
    5    41       0.44298883       3.39907931       2.43611878
    5    42       0.44298883       3.48098483       2.44659897
    5    43       0.44298883       3.56289036       2.44450070
    5    44       0.44298883       3.64479588       2.43395543
