# frequency_cm-1 IR_intensity
5.236750323979999848e+02 1.394651986221906285e-04
5.256969437199999220e+02 1.399527212715048069e-04
5.277188550419999729e+02 1.404429790196683213e-04
5.297407663639999100e+02 1.409359928184448791e-04
5.317626776859999609e+02 1.414317838219901642e-04
5.337845890079998981e+02 1.419303733892071857e-04
5.358065003299999489e+02 1.424317830861339070e-04
5.378284116519999998e+02 1.429360346883636740e-04
5.398503229739999369e+02 1.434431501834982216e-04
5.418722342959999878e+02 1.439531517736350507e-04
5.438941456179999250e+02 1.444660618778878189e-04
5.459160569399999758e+02 1.449819031349425637e-04
5.479379682619999130e+02 1.455006984056482413e-04
5.499598795839999639e+02 1.460224707756434498e-04
5.519817909059999010e+02 1.465472435580196368e-04
5.540037022279999519e+02 1.470750402960204102e-04
5.560256135499998891e+02 1.476058847657795011e-04
5.580475248719999399e+02 1.481398009790958607e-04
5.600694361939999908e+02 1.486768131862477608e-04
5.620913475159999280e+02 1.492169458788462791e-04
5.641132588379999788e+02 1.497602237927287902e-04
5.661351701599999160e+02 1.503066719108924918e-04
5.681570814819999669e+02 1.508563154664701331e-04
5.701789928039999040e+02 1.514091799457465630e-04
5.722009041259999549e+02 1.519652910912185659e-04
5.742228154479998921e+02 1.525246749046976584e-04
5.762447267699999429e+02 1.530873576504570405e-04
5.782666380919999938e+02 1.536533658584228901e-04
5.802885494139999309e+02 1.542227263274111135e-04
5.823104607359999818e+02 1.547954661284110139e-04
5.843323720579999190e+02 1.553716126079141989e-04
5.863542833799999698e+02 1.559511933912930358e-04
5.883761947019999070e+02 1.565342363862258902e-04
5.903981060239999579e+02 1.571207697861729425e-04
5.924200173459998950e+02 1.577108220739009291e-04
5.944419286679999459e+02 1.583044220250596004e-04
5.964638399899998831e+02 1.589015987118092444e-04
5.984857513119999339e+02 1.595023815065013629e-04
6.005076626339999848e+02 1.601068000854121223e-04
6.025295739559999220e+02 1.607148844325307453e-04
6.045514852779999728e+02 1.613266648434028179e-04
6.065733965999999100e+02 1.619421719290295143e-04
6.085953079219999609e+02 1.625614366198246908e-04
6.106172192439998980e+02 1.631844901696289816e-04
6.126391305659999489e+02 1.638113641597837428e-04
6.146610418879998861e+02 1.644420905032647085e-04
6.166829532099999369e+02 1.650767014488766339e-04
6.187048645319999878e+02 1.657152295855098998e-04
6.207267758539999249e+02 1.663577078464606245e-04
6.227486871759999758e+02 1.670041695138146085e-04
6.247705984979999130e+02 1.676546482228965206e-04
6.267925098199999638e+02 1.683091779667858436e-04
6.288144211419999010e+02 1.689677931008998516e-04
6.308363324639999519e+02 1.696305283476457859e-04
6.328582437859998890e+02 1.702974188011422839e-04
6.348801551079999399e+02 1.709684999320126104e-04
6.369020664299998771e+02 1.716438075922493642e-04
6.389239777519999279e+02 1.723233780201534251e-04
6.409458890739999788e+02 1.730072478453471970e-04
6.429678003959999160e+02 1.736954540938643135e-04
6.449897117179999668e+02 1.743880341933165654e-04
6.470116230399999040e+02 1.750850259781395698e-04
6.490335343619999549e+02 1.757864676949188857e-04
6.510554456839998920e+02 1.764923980077971744e-04
6.530773570059999429e+02 1.772028560039650596e-04
6.550992683279998801e+02 1.779178811992356349e-04
6.571211796499999309e+02 1.786375135437054894e-04
6.591430909719999818e+02 1.793617934275030124e-04
6.611650022939999189e+02 1.800907616866254937e-04
6.631869136159999698e+02 1.808244596088672701e-04
6.652088249379999070e+02 1.815629289398394870e-04
6.672307362599999578e+02 1.823062118890841313e-04
6.692526475819998950e+02 1.830543511362832572e-04
6.712745589039999459e+02 1.838073898375657900e-04
6.732964702259998830e+02 1.845653716319128033e-04
6.753183815479999339e+02 1.853283406476640869e-04
6.773402928699999848e+02 1.860963415091266573e-04
6.793622041919999219e+02 1.868694193432881645e-04
6.813841155139999728e+02 1.876476197866364429e-04
6.834060268359999100e+02 1.884309889920871017e-04
6.854279381579999608e+02 1.892195736360215966e-04
6.874498494799998980e+02 1.900134209254371093e-04
6.894717608019999489e+02 1.908125786052112171e-04
6.914936721239998860e+02 1.916170949654823013e-04
6.935155834459999369e+02 1.924270188491487561e-04
6.955374947679998741e+02 1.932423996594888978e-04
6.975594060899999249e+02 1.940632873679035500e-04
6.995813174119999758e+02 1.948897325217837739e-04
7.016032287339999129e+02 1.957217862525062631e-04
7.036251400559999638e+02 1.965595002835583542e-04
7.056470513779999010e+02 1.974029269387951211e-04
7.076689626999999518e+02 1.982521191508319945e-04
7.096908740219998890e+02 1.991071304695731501e-04
7.117127853439999399e+02 1.999680150708813041e-04
7.137346966659998770e+02 2.008348277653885367e-04
7.157566079879999279e+02 2.017076240074532653e-04
7.177785193099999788e+02 2.025864599042644261e-04
7.198004306319999159e+02 2.034713922250960881e-04
7.218223419539999668e+02 2.043624784107167557e-04
7.238442532759999040e+02 2.052597765829533604e-04
7.258661645979999548e+02 2.061633455544159576e-04
7.278880759199998920e+02 2.070732448383842954e-04
7.299099872419999429e+02 2.079895346588600221e-04
7.319318985639998800e+02 2.089122759607872160e-04
7.339538098859999309e+02 2.098415304204458186e-04
7.359757212079998681e+02 2.107773604560190823e-04
7.379976325299999189e+02 2.117198292383408052e-04
7.400195438519999698e+02 2.126690007018236831e-04
7.420414551739999069e+02 2.136249395555741431e-04
7.440633664959999578e+02 2.145877112946958834e-04
7.460852778179998950e+02 2.155573822117864545e-04
7.481071891399999458e+02 2.165340194086308684e-04
7.501291004619998830e+02 2.175176908080952412e-04
7.521510117839999339e+02 2.185084651662255685e-04
7.541729231059998710e+02 2.195064120845542871e-04
7.561948344279999219e+02 2.205116020226206147e-04
7.582167457499999728e+02 2.215241063107062933e-04
7.602386570719999099e+02 2.225439971627938109e-04
7.622605683939999608e+02 2.235713476897497308e-04
7.642824797159998980e+02 2.246062319127376818e-04
7.663043910379999488e+02 2.256487247768667291e-04
7.683263023599998860e+02 2.266989021650786756e-04
7.703482136819999369e+02 2.277568409122798245e-04
7.723701250039998740e+02 2.288226188197213214e-04
7.743920363259999249e+02 2.298963146696345831e-04
7.764139476479999757e+02 2.309780082401250367e-04
7.784358589699999129e+02 2.320677803203309738e-04
7.804577702919999638e+02 2.331657127258524790e-04
7.824796816139999009e+02 2.342718883144548792e-04
7.845015929359999518e+02 2.353863910020548159e-04
7.865235042579998890e+02 2.365093057789915184e-04
7.885454155799999398e+02 2.376407187265920846e-04
7.905673269019998770e+02 2.387807170340345924e-04
7.925892382239999279e+02 2.399293890155170916e-04
7.946111495459998650e+02 2.410868241277371656e-04
7.966330608679999159e+02 2.422531129876893811e-04
