system,frequency_cm-1,real_in_plane,real_out_of_plane,imag_in_plane,imag_out_of_plane,response_kind
MoS2,307.6,2.3162864616,1.0957477025e-05,0.13684800251,2.6542463081e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,307.8,2.3230928291,1.0970744669e-05,0.13774640786,2.6624136678e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,308.0,2.3299435715,1.0984053096e-05,0.138653589,2.6706170796e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,308.2,2.3368391177,1.0997402488e-05,0.13956966051,2.6788567577e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,308.4,2.3437799026,1.1010793024e-05,0.1404947389,2.6871329179e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,308.6,2.3507663664,1.1024224888e-05,0.14142894256,2.6954457776e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,308.8,2.357798955,1.1037698261e-05,0.14237239181,2.7037955557e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,309.0,2.3648781203,1.1051213327e-05,0.143325209,2.7121824728e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,309.2,2.3720043199,1.1064770273e-05,0.14428751848,2.7206067513e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,309.4,2.3791780175,1.1078369284e-05,0.14525944668,2.729068615e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,309.6,2.3863996828,1.1092010547e-05,0.14624112211,2.7375682896e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,309.8,2.3936697919,1.1105694252e-05,0.14723267547,2.7461060023e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,310.0,2.400988827,1.1119420586e-05,0.14823423963,2.7546819822e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,310.2,2.4083572767,1.1133189743e-05,0.14924594971,2.76329646e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,310.4,2.4157756361,1.1147001912e-05,0.1502679431,2.7719496681e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,310.6,2.4232444071,1.1160857288e-05,0.15130035953,2.7806418409e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,310.8,2.430764098,1.1174756065e-05,0.1523433411,2.7893732142e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,311.0,2.4383352242,1.1188698437e-05,0.15339703234,2.7981440259e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,311.2,2.445958308,1.1202684602e-05,0.15446158027,2.8069545156e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,311.4,2.4536338787,1.1216714757e-05,0.1555371344,2.8158049246e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,311.6,2.4613624727,1.1230789102e-05,0.15662384687,2.8246954962e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,311.8,2.4691446339,1.1244907836e-05,0.1577218724,2.8336264755e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,312.0,2.4769809135,1.1259071161e-05,0.15883136843,2.8425981095e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,312.2,2.4848718702,1.1273279279e-05,0.15995249514,2.8516106469e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,312.4,2.4928180706,1.1287532394e-05,0.1610854155,2.8606643386e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,312.6,2.5008200889,1.1301830713e-05,0.16223029535,2.8697594372e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,312.8,2.5088785074,1.1316174439e-05,0.16338730344,2.8788961973e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,313.0,2.5169939164,1.1330563783e-05,0.16455661151,2.8880748756e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,313.2,2.5251669144,1.1344998952e-05,0.16573839434,2.8972957304e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,313.4,2.5333981083,1.1359480156e-05,0.16693282983,2.9065590225e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,313.6,2.5416881136,1.1374007607e-05,0.16814009904,2.9158650142e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,313.8,2.5500375544,1.1388581519e-05,0.16936038628,2.9252139703e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,314.0,2.5584470636,1.1403202104e-05,0.17059387919,2.9346061573e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,314.2,2.566917283,1.1417869578e-05,0.17184076877,2.944041844e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,314.4,2.5754488638,1.1432584159e-05,0.17310124951,2.953521301e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,314.6,2.5840424661,1.1447346064e-05,0.17437551941,2.9630448014e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,314.8,2.5926987598,1.1462155513e-05,0.17566378009,2.9726126201e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,315.0,2.6014184244,1.1477012727e-05,0.17696623687,2.9822250343e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,315.2,2.6102021488,1.1491917927e-05,0.17828309883,2.9918823234e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,315.4,2.6190506325,1.1506871338e-05,0.17961457891,3.0015847687e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,315.6,2.6279645846,1.1521873184e-05,0.18096089401,3.0113326542e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,315.8,2.6369447248,1.1536923692e-05,0.18232226502,3.0211262657e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,316.0,2.6459917834,1.1552023089e-05,0.18369891699,3.0309658914e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,316.2,2.6551065013,1.1567171606e-05,0.18509107915,3.0408518218e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,316.4,2.6642896302,1.1582369472e-05,0.18649898507,3.0507843498e-07,lattice 2D sheet polarizability / epsilon_0
