# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    3    37       1.82874370       2.66915629       2.22173363
    3    38       1.86983961       2.74033433       2.06866661
    3    39       1.91093551       2.81151237       1.86058574
    3    40       1.95203142       2.88269042       1.59368388
    3    41       1.99312732       2.95386846       1.27187782
    3    42       2.03422323       3.02504651       0.90039116
    3    43       2.07531913       3.09622455       0.48863790
    3    44       2.11641504       3.16740259       0.05805805
    3    45       2.15751094       3.23858064      -0.35590133
    3    46       2.19860685       3.30975868      -0.71129482
    3    47       2.23970275       3.38093673      -0.97038038
    3    48       2.28079866       3.45211477      -1.10663206
    3    49       2.32189456       3.52329282      -1.10673554
    4     0       0.39038014       0.03556283      -0.52760485
    4     1       0.43147605       0.10674087      -0.24550816
    4     2       0.47257195       0.17791892       0.10527164
    4     3       0.51366786       0.24909696       0.48794909
    4     4       0.55476376       0.32027500       0.86791426
    4     5       0.59585967       0.39145305       1.22104410
    4     6       0.63695557       0.46263109       1.53442836
    4     7       0.67805148       0.53380914       1.79979761
    4     8       0.71914738       0.60498718       2.01090717
    4     9       0.76024329       0.67616523       2.16819400
    4    10       0.80133919       0.74734327       2.27579331
    4    11       0.84243510       0.81852131       2.33636629
    4    12       0.88353100       0.88969936       2.35620113
    4    13       0.92462691       0.96087740       2.34341815
    4    14       0.96572281       1.03205545       2.30327641
    4    15       1.00681872       1.10323349       2.23875886
    4    16       1.04791462       1.17441154       2.15353934
    4    17       1.08901053       1.24558958       2.05247278
    4    18       1.13010643       1.31676762       1.94297638
    4    19       1.17120234       1.38794567       1.83439416
    4    20       1.21229825       1.45912371       1.73621065
    4    21       1.25339415       1.53030176       1.65795573
    4    22       1.29449006       1.60147980       1.60727795
    4    23       1.33558596       1.67265785       1.58980304
    4    24       1.37668187       1.74383589       1.60740035
    4    25       1.41777777       1.81501393       1.65818946
    4    26       1.45887368       1.88619198       1.73653790
    4    27       1.49996958       1.95737002       1.83479137
    4    28       1.54106549       2.02854807       1.94341782
    4    29       1.58216139       2.09972611       2.05293423
    4    30       1.62325730       2.17090415       2.15400261
    4    31       1.66435320       2.24208220       2.23921416
    4    32       1.70544911       2.31326024       2.30371804
    4    33       1.74654501       2.38443829       2.34384589
    4    34       1.78764092       2.45561633       2.35662465
    4    35       1.82873682       2.52679438       2.33679730
    4    36       1.86983273       2.59797242       2.27624426
    4    37       1.91092863       2.66915046       2.16867639
    4    38       1.95202454       2.74032851       2.01142642
    4    39       1.99312044       2.81150655       1.80036614
    4    40       2.03421635       2.88268460       1.53504685
    4    41       2.07531225       2.95386264       1.22170220
    4    42       2.11640816       3.02504069       0.86860222
    4    43       2.15750406       3.09621873       0.48864008
    4    44       2.19859997       3.16739677       0.10592212
    4    45       2.23969587       3.23857482      -0.24495562
    4    46       2.28079178       3.30975286      -0.52720220
    4    47       2.32188768       3.38093091      -0.70979282
    4    48       2.36298359       3.45210895      -0.77288204
    4    49       2.40407949       3.52328700      -0.71000368
    5     0       0.47256507       0.03555701      -0.03588933
    5     1       0.51366098       0.10673505       0.24368723
    5     2       0.55475688       0.17791310       0.56580475
    5     3       0.59585279       0.24909114       0.89971586
    5     4       0.63694869       0.32026918       1.22103555
    5     5       0.67804460       0.39144723       1.51389747
    5     6       0.71914050       0.46262527       1.76810236
    5     7       0.76023641       0.53380332       1.97418821
    5     8       0.80133231       0.60498136       2.12960114
    5     9       0.84242822       0.67615940       2.23699570
    5    10       0.88352412       0.74733745       2.29732445
    5    11       0.92462003       0.81851549       2.31459805
    5    12       0.96571594       0.88969354       2.29562227
    5    13       1.00681184       0.96087158       2.24444233
    5    14       1.04790775       1.03204963       2.16384376
    5    15       1.08900365       1.10322767       2.05605331
    5    16       1.13009956       1.17440571       1.92531017
    5    17       1.17119546       1.24558376       1.78018469
    5    18       1.21229137       1.31676180       1.63150179
    5    19       1.25338727       1.38793985       1.49027658
    5    20       1.29448318       1.45911789       1.36862764
    5    21       1.33557908       1.53029594       1.27886242
    5    22       1.37667499       1.60147398       1.23130080
    5    23       1.41777089       1.67265202       1.23138215
    5    24       1.45886680       1.74383007       1.27909866
    5    25       1.49996270       1.81500811       1.36899592
    5    26       1.54105861       1.88618616       1.49074495
    5    27       1.58215451       1.95736420       1.63203482
    5    28       1.62325042       2.02854225       1.78075248
    5    29       1.66434632       2.09972029       1.92588514
    5    30       1.70544223       2.17089833       2.05661330
    5    31       1.74653813       2.24207638       2.16437839
    5    32       1.78763404       2.31325442       2.24494975
    5    33       1.82872994       2.38443247       2.29610331
    5    34       1.86982585       2.45561051       2.31506614
    5    35       1.91092175       2.52678855       2.29779915
    5    36       1.95201766       2.59796660       2.23748958
    5    37       1.99311356       2.66914464       2.13012276
    5    38       2.03420947       2.74032269       1.97474445
    5    39       2.07530537       2.81150073       1.76870473
    5    40       2.11640128       2.88267878       1.51453987
    5    41       2.15749718       2.95385682       1.22170530
    5    42       2.19859309       3.02503486       0.90039670
    5    43       2.23968899       3.09621291       0.56646345
    5    44       2.28078490       3.16739095       0.24427926
    5    45       2.32188081       3.23856900      -0.03541781
    5    46       2.36297671       3.30974704      -0.24205873
    5    47       2.40407262       3.38092509      -0.35172216
    5    48       2.44516852       3.45210313      -0.35182741
    5    49       2.48626443       3.52328117      -0.24236263
    6     0       0.55475000       0.03555119       0.45600855
    6     1       0.59584591       0.10672923       0.71246871
    6     2       0.63694181       0.17790727       0.99163370
    6     3       0.67803772       0.24908532       1.27123547
    6     4       0.71913362       0.32026336       1.53441148
    6     5       0.76022953       0.39144141       1.76809496
    6     6       0.80132544       0.46261945       1.96145074
    6     7       0.84242134       0.53379750       2.10927042
    6     8       0.88351725       0.60497554       2.21192070
    6     9       0.92461315       0.67615358       2.26869082
    6    10       0.96570906       0.74733163       2.28177086
    6    11       1.00680496       0.81850967       2.25501175
    6    12       1.04790087       0.88968772       2.19132940
    6    13       1.08899677       0.96086576       2.09256350
    6    14       1.13009268       1.03204381       1.95919444
    6    15       1.17118858       1.10322185       1.79477733
    6    16       1.21228449       1.17439989       1.60799046
    6    17       1.25338039       1.24557794       1.40834970
    6    18       1.29447630       1.31675598       1.20860935
    6    19       1.33557220       1.38793403       1.02663340
    6    20       1.37666811       1.45911207       0.88118453
    6    21       1.41776401       1.53029011       0.78769539
    6    22       1.45885992       1.60146816       0.75560166
    6    23       1.49995582       1.67264620       0.78789693
    6    24       1.54105173       1.74382425       0.88157088
    6    25       1.58214763       1.81500229       1.02716976
    6    26       1.62324354       1.88618034       1.20924860
    6    27       1.66433944       1.95735838       1.40903917
    6    28       1.70543535       2.02853642       1.60868985
    6    29       1.74653125       2.09971447       1.79546274
    6    30       1.78762716       2.17089251       1.95984687
    6    31       1.82872306       2.24207056       2.09316841
    6    32       1.86981897       2.31324860       2.19188983
    6    33       1.91091487       2.38442665       2.25553483
    6    34       1.95201078       2.45560469       2.28227486
    6    35       1.99310668       2.52678273       2.26919695
    6    36       2.03420259       2.59796078       2.21244200
    6    37       2.07529849       2.66913882       2.10981610
    6    38       2.11639440       2.74031687       1.96202675
    6    39       2.15749031       2.81149491       1.76870728
    6    40       2.19858621       2.88267296       1.53505278
    6    41       2.23968212       2.95385100       1.27188673
    6    42       2.28077802       3.02502904       0.99227317
    6    43       2.32187393       3.09620709       0.71306188
    6    44       2.36296983       3.16738513       0.45651249
