# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    3    33       0.29005131       2.66319299      -1.31530498
    3    34       0.29005131       2.74269129      -0.61313971
    3    35       0.29005131       2.82218958       0.06945793
    3    36       0.29005131       2.90168788       0.69719984
    3    37       0.29005131       2.98118618       1.22162277
    3    38       0.29005131       3.06068448       1.63518179
    3    39       0.29005131       3.14018278       1.96446100
    3    40       0.29005131       3.21968107       2.22452276
    3    41       0.29005131       3.29917937       2.42992960
    3    42       0.29005131       3.37867767       2.58899735
    3    43       0.29005131       3.45817597       2.71108948
    3    44       0.29005131       3.53767427       2.80336470
    3    45       0.29005131       3.61717256       2.87149216
    3    46       0.29005131       3.69667086       2.92065716
    3    47       0.29005131       3.77616916       2.95460751
    3    48       0.29005131       3.85566746       2.97759481
    3    49       0.29005131       3.93516576       2.99205828
    3    50       0.29005131       4.01466405       3.00079824
    3    51       0.29005131       4.09416235       3.00548139
    3    52       0.29005131       4.17366065       3.00782040
    3    53       0.29005131       4.25315895       3.00871578
    4     0       0.37292311       0.03974915       2.94578823
    4     1       0.37292311       0.11924745       2.94620798
    4     2       0.37292311       0.19874575       2.94757719
    4     3       0.37292311       0.27824404       2.94892261
    4     4       0.37292311       0.35774234       2.94950241
    4     5       0.37292311       0.43724064       2.94735871
    4     6       0.37292311       0.51673894       2.94088840
    4     7       0.37292311       0.59623724       2.92737070
    4     8       0.37292311       0.67573553       2.90425119
    4     9       0.37292311       0.75523383       2.86807189
    4    10       0.37292311       0.83473213       2.81467881
    4    11       0.37292311       0.91423043       2.74044969
    4    12       0.37292311       0.99372873       2.63960695
    4    13       0.37292311       1.07322702       2.50723219
    4    14       0.37292311       1.15272532       2.33501308
    4    15       0.37292311       1.23222362       2.11691175
    4    16       0.37292311       1.31172192       1.84294022
    4    17       0.37292311       1.39122022       1.50276532
    4    18       0.37292311       1.47071852       1.08156345
    4    19       0.37292311       1.55021681       0.56885891
    4    20       0.37292311       1.62971511      -0.00431056
    4    21       0.37292311       1.70921341      -0.59787271
    4    22       0.37292311       1.78871171      -1.18232926
    4    23       0.37292311       1.86821001      -1.71964962
    4    24       0.37292311       1.94770830      -2.17778176
    4    25       0.37292311       2.02720660      -2.53397476
    4    26       0.37292311       2.10670490      -2.76297707
    4    27       0.37292311       2.18620320      -2.84227129
    4    28       0.37292311       2.26570150      -2.76297840
    4    29       0.37292311       2.34519979      -2.53397727
    4    30       0.37292311       2.42469809      -2.17778520
    4    31       0.37292311       2.50419639      -1.71965384
    4    32       0.37292311       2.58369469      -1.18233417
    4    33       0.37292311       2.66319299      -0.59787808
    4    34       0.37292311       2.74269129      -0.00431628
    4    35       0.37292311       2.82218958       0.56885306
    4    36       0.37292311       2.90168788       1.08155808
    4    37       0.37292311       2.98118618       1.50276068
    4    38       0.37292311       3.06068448       1.84293613
    4    39       0.37292311       3.14018278       2.11690815
    4    40       0.37292311       3.21968107       2.33500987
    4    41       0.37292311       3.29917937       2.50722932
    4    42       0.37292311       3.37867767       2.63960440
    4    43       0.37292311       3.45817597       2.74044741
    4    44       0.37292311       3.53767427       2.81467678
    4    45       0.37292311       3.61717256       2.86807008
    4    46       0.37292311       3.69667086       2.90424959
    4    47       0.37292311       3.77616916       2.92736931
    4    48       0.37292311       3.85566746       2.94088721
    4    49       0.37292311       3.93516576       2.94735771
    4    50       0.37292311       4.01466405       2.94950160
    4    51       0.37292311       4.09416235       2.94892200
    4    52       0.37292311       4.17366065       2.94757678
    4    53       0.37292311       4.25315895       2.94620778
    5     0       0.45579492       0.03974915       2.86460478
    5     1       0.45579492       0.11924745       2.86589436
    5     2       0.45579492       0.19874575       2.87004141
    5     3       0.45579492       0.27824404       2.87581919
    5     4       0.45579492       0.35774234       2.88243984
    5     5       0.45579492       0.43724064       2.88802194
    5     6       0.45579492       0.51673894       2.89065687
    5     7       0.45579492       0.59623724       2.88805429
    5     8       0.45579492       0.67573553       2.87720961
    5     9       0.45579492       0.75523383       2.85549152
    5    10       0.45579492       0.83473213       2.81840742
    5    11       0.45579492       0.91423043       2.76285747
    5    12       0.45579492       0.99372873       2.68409439
    5    13       0.45579492       1.07322702       2.57816771
    5    14       0.45579492       1.15272532       2.43929791
    5    15       0.45579492       1.23222362       2.26163160
    5    16       0.45579492       1.31172192       2.03984752
    5    17       0.45579492       1.39122022       1.76597095
    5    18       0.45579492       1.47071852       1.43425585
    5    19       0.45579492       1.55021681       1.03446969
    5    20       0.45579492       1.62971511       0.57329950
    5    21       0.45579492       1.70921341       0.08669989
    5    22       0.45579492       1.78871171      -0.39232031
    5    23       0.45579492       1.86821001      -0.83851905
    5    24       0.45579492       1.94770830      -1.22222699
    5    25       0.45579492       2.02720660      -1.51594115
    5    26       0.45579492       2.10670490      -1.70043652
    5    27       0.45579492       2.18620320      -1.76349928
    5    28       0.45579492       2.26570150      -1.70043769
    5    29       0.45579492       2.34519979      -1.51594341
    5    30       0.45579492       2.42469809      -1.22223026
    5    31       0.45579492       2.50419639      -0.83852317
    5    32       0.45579492       2.58369469      -0.39232510
    5    33       0.45579492       2.66319299       0.08669457
    5    34       0.45579492       2.74269129       0.57329387
    5    35       0.45579492       2.82218958       1.03446425
    5    36       0.45579492       2.90168788       1.43425099
    5    37       0.45579492       2.98118618       1.76596657
    5    38       0.45579492       3.06068448       2.03984357
    5    39       0.45579492       3.14018278       2.26162803
    5    40       0.45579492       3.21968107       2.43929464
    5    41       0.45579492       3.29917937       2.57816475
    5    42       0.45579492       3.37867767       2.68409170
    5    43       0.45579492       3.45817597       2.76285503
