z_angstrom,reference_electron_line_density_e_per_angstrom,displaced_electron_line_density_e_per_angstrom,electron_charge_difference_e_per_angstrom,cumulative_charge_difference_e,cumulative_dipole_difference_e_angstrom
-12.774249053614271,-8.927121495241843e-08,4.999119881174885e-08,-1.3926241376416727e-07,3.2592117560225993e-07,-5.947617639614847e-06
-12.693434168319587,-3.702075340628902e-08,9.795969708506835e-08,-1.3498045049135738e-07,3.150127459787761e-07,-5.8091522063094074e-06
-12.612619283024902,-8.086370304668317e-08,6.924779837182483e-08,-1.50111501418508e-07,3.028815022102265e-07,-5.6561454472271236e-06
-12.53180439773022,-3.327821998883388e-08,1.1223792691948486e-07,-1.4551614690831874e-07,2.911216314893063e-07,-5.508773047609957e-06
-12.450989512435534,-7.214013213453747e-08,8.861723438391458e-08,-1.6075736651845205e-07,2.7813004335384204e-07,-5.3470149199854096e-06
-12.37017462714085,-3.092272234326578e-08,1.252426109274122e-07,-1.56165333270678e-07,2.6550955985856603e-07,-5.190897335269897e-06
-12.289359741846166,-6.337513629892781e-08,1.077909548411057e-07,-1.7116609114003352e-07,2.516767918367447e-07,-5.020901472824229e-06
-12.20854485655148,-3.006323248504083e-08,1.3682552318600857e-07,-1.668887556710494e-07,2.3818969619021626e-07,-4.856243660638986e-06
-12.1277299712568,-5.4849006498941534e-08,1.2644564164763773e-07,-1.8129464814657927e-07,2.235383899957103e-07,-4.678556575385816e-06
-12.046915085962114,-3.074356734317677e-08,1.4685915524263292e-07,-1.7760272258580968e-07,2.0918544634191444e-07,-4.505647881954938e-06
-11.96610020066743,-4.680399392751722e-08,1.442648395250947e-07,-1.9106883345261193e-07,1.9374424048305245e-07,-4.320876865428663e-06
-11.885285315372744,-3.296254172438922e-08,1.552548581312435e-07,-1.8821739985563273e-07,1.7853347290325576e-07,-4.140092552876957e-06
-11.80447043007806,-3.947408574131724e-08,1.6090695015596225e-07,-2.003810358972795e-07,1.6233970247198707e-07,-3.948933668669574e-06
-11.723655544783377,-3.662360150230207e-08,1.6194688711533116e-07,-1.9857048861763322e-07,1.4629225121144362e-07,-3.7607988777192624e-06
-11.642840659488693,-3.304475202504805e-08,1.7607101258380097e-07,-2.0911576460884902e-07,1.293925846812693e-07,-3.5640387531099482e-06
-11.562025774194007,-4.1596723883990404e-08,1.6689797175183948e-07,-2.0849469563582988e-07,1.1254310976890957e-07,-3.3692246898916097e-06
-11.481210888899323,-2.767080259041709e-08,1.8942613212705094e-07,-2.1709693471746804e-07,9.499844589188981e-08,-3.167790703944692e-06
-11.400396003604639,-4.7681360007667763e-08,1.7011235248882463e-07,-2.177937124964924e-07,7.739747199858232e-08,-2.9671326315118796e-06
-11.319581118309953,-2.3474673280436265e-08,2.0070823655804284e-07,-2.241829098384791e-07,5.928015585495707e-08,-2.762052201778047e-06
-11.238766233015271,-5.461020026943732e-08,1.7161402357871776e-07,-2.2622422384815507e-07,4.099787115378942e-08,-2.5565818778161925e-06
-11.157951347720585,-2.052520536547578e-08,2.0964747301882043e-07,-2.301726783842962e-07,2.2396492552192252e-08,-2.3490286003790403e-06
-11.077136462425901,-6.209829759345613e-08,1.7146501171816561e-07,-2.3356330931162175e-07,3.5211005011266592e-09,-2.1399433068475977e-06
