# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    5    34       1.59398771       2.00162776       2.05072043
    5    35       1.63383740       2.07064941       2.15237289
    5    36       1.67368709       2.13967106       2.23511253
    5    37       1.71353679       2.20869270       2.30144805
    5    38       1.75338648       2.27771435       2.35339108
    5    39       1.79323617       2.34673600       2.39267801
    6     0       0.27894785      -0.41412988       2.37368077
    6     1       0.31879754      -0.34510823       2.39718296
    6     2       0.35864723      -0.27608659       2.41079832
    6     3       0.39849693      -0.20706494       2.41529554
    6     4       0.43834662      -0.13804329       2.41079832
    6     5       0.47819631      -0.06902165       2.39718296
    6     6       0.51804601       0.00000000       2.37368077
    6     7       0.55789570       0.06902165       2.33913794
    6     8       0.59774539       0.13804329       2.29183010
    6     9       0.63759508       0.20706494       2.22975774
    6    10       0.67744478       0.27608659       2.15044393
    6    11       0.71729447       0.34510823       2.05072043
    6    12       0.75714416       0.41412988       1.92687290
    6    13       0.79699385       0.48315153       1.77448754
    6    14       0.83684355       0.55217318       1.58872762
    6    15       0.87669324       0.62119482       1.36383591
    6    16       0.91654293       0.69021647       1.09435021
    6    17       0.95639263       0.75923812       0.77820966
    6    18       0.99624232       0.82825976       0.41847272
    6    19       1.03609201       0.89728141       0.03017527
    6    20       1.07594170       0.96630306      -0.35204972
    6    21       1.11579140       1.03532470      -0.67867072
    6    22       1.15564109       1.10434635      -0.89932675
    6    23       1.19549078       1.17336800      -0.97736881
    6    24       1.23534047       1.24238964      -0.89932675
    6    25       1.27519017       1.31141129      -0.67867072
    6    26       1.31503986       1.38043294      -0.35204973
    6    27       1.35488955       1.44945459       0.03017527
    6    28       1.39473925       1.51847623       0.41847272
    6    29       1.43458894       1.58749788       0.77820966
    6    30       1.47443863       1.65651953       1.09435020
    6    31       1.51428832       1.72554117       1.36383591
    6    32       1.55413802       1.79456282       1.58872762
    6    33       1.59398771       1.86358447       1.77448754
    6    34       1.63383740       1.93260611       1.92687290
    6    35       1.67368709       2.00162776       2.05072043
    6    36       1.71353679       2.07064941       2.15044393
    6    37       1.75338648       2.13967106       2.22975774
    6    38       1.79323617       2.20869270       2.29183009
    6    39       1.83308587       2.27771435       2.33913794
    7     0       0.31879754      -0.48315153       2.31518646
    7     1       0.35864723      -0.41412988       2.34407000
    7     2       0.39849693      -0.34510823       2.36235157
    7     3       0.43834662      -0.27608659       2.37123428
    7     4       0.47819631      -0.20706494       2.37123428
    7     5       0.51804601      -0.13804329       2.36235157
    7     6       0.55789570      -0.06902165       2.34407000
    7     7       0.59774539       0.00000000       2.31518646
    7     8       0.63759508       0.06902165       2.27385203
    7     9       0.67744478       0.13804329       2.21765031
    7    10       0.71729447       0.20706494       2.14385285
    7    11       0.75714416       0.27608659       2.04862230
    7    12       0.79699385       0.34510823       1.92743259
    7    13       0.83684355       0.41412988       1.77448754
    7    14       0.87669324       0.48315153       1.58288562
    7    15       0.91654293       0.55217318       1.34343409
    7    16       0.95639263       0.62119482       1.04580168
    7    17       0.99624232       0.69021647       0.68060520
    7    18       1.03609201       0.75923812       0.24138328
    7    19       1.07594170       0.82825976      -0.26205659
    7    20       1.11579140       0.89728141      -0.78948542
    7    21       1.15564109       0.96630306      -1.27600266
    7    22       1.19549078       1.03532470      -1.65046126
    7    23       1.23534047       1.10434635      -1.85411657
    7    24       1.27519017       1.17336800      -1.85411657
    7    25       1.31503986       1.24238964      -1.65046127
    7    26       1.35488955       1.31141129      -1.27600266
    7    27       1.39473925       1.38043294      -0.78948542
    7    28       1.43458894       1.44945459      -0.26205659
    7    29       1.47443863       1.51847623       0.24138328
    7    30       1.51428832       1.58749788       0.68060520
    7    31       1.55413802       1.65651953       1.04580168
    7    32       1.59398771       1.72554117       1.34343409
    7    33       1.63383740       1.79456282       1.58288562
    7    34       1.67368709       1.86358447       1.77448754
    7    35       1.71353679       1.93260611       1.92743259
    7    36       1.75338648       2.00162776       2.04862230
    7    37       1.79323617       2.07064941       2.14385285
    7    38       1.83308587       2.13967106       2.21765031
    7    39       1.87293556       2.20869270       2.27385203
    8     0       0.35864723      -0.55217318       2.24434861
    8     1       0.39849693      -0.48315153       2.27839206
    8     2       0.43834662      -0.41412988       2.30085572
    8     3       0.47819631      -0.34510823       2.31358093
    8     4       0.51804601      -0.27608659       2.31772918
    8     5       0.55789570      -0.20706494       2.31358093
    8     6       0.59774539      -0.13804329       2.30085572
