# Z-direction plane-averaged electrostatic potential
# iz   z(Angstrom)   V_avg(eV)
   367       29.29142920        2.96656861
   368       29.37124236        2.96657415
   369       29.45105552        2.96656838
   370       29.53086867        2.96657429
   371       29.61068183        2.96656833
   372       29.69049499        2.96657426
   373       29.77030815        2.96656846
   374       29.85012131        2.96657404
   375       29.92993447        2.96656876
   376       30.00974763        2.96657367
   377       30.08956078        2.96656920
   378       30.16937394        2.96657316
   379       30.24918710        2.96656977
   380       30.32900026        2.96657254
   381       30.40881342        2.96657042
   382       30.48862658        2.96657186
   383       30.56843974        2.96657112
   384       30.64825289        2.96657116
   385       30.72806605        2.96657182
   386       30.80787921        2.96657047
   387       30.88769237        2.96657248
   388       30.96750553        2.96656984
   389       31.04731869        2.96657307
   390       31.12713185        2.96656931
   391       31.20694500        2.96657355
   392       31.28675816        2.96656890
   393       31.36657132        2.96657388
   394       31.44638448        2.96656863
   395       31.52619764        2.96657406
   396       31.60601080        2.96656854
   397       31.68582396        2.96657408
   398       31.76563712        2.96656861
   399       31.84545027        2.96657393
   400       31.92526343        2.96656884
   401       32.00507659        2.96657362
   402       32.08488975        2.96656921
   403       32.16470291        2.96657318
   404       32.24451607        2.96656972
   405       32.32432923        2.96657262
   406       32.40414238        2.96657031
   407       32.48395554        2.96657200
   408       32.56376870        2.96657096
   409       32.64358186        2.96657133
   410       32.72339502        2.96657163
   411       32.80320818        2.96657067
   412       32.88302134        2.96657228
   413       32.96283449        2.96657014
   414       33.04264765        2.96657337
   415       33.12246081        2.96657043
   416       33.20227397        2.96657469
   417       33.28208713        2.96657083
   418       33.36190029        2.96657588
   419       33.44171345        2.96657136
   420       33.52152660        2.96657693
   421       33.60133976        2.96657205
   422       33.68115292        2.96657783
   423       33.76096608        2.96657290
   424       33.84077924        2.96657855
   425       33.92059240        2.96657391
   426       34.00040556        2.96657913
   427       34.08021871        2.96657506
   428       34.16003187        2.96657956
   429       34.23984503        2.96657635
   430       34.31965819        2.96657988
   431       34.39947135        2.96657774
