# omega(eV)            xx             xy             xz             yx             yy             yz             zx             zy             zz (Siemens/meter)
   5.70000   3.510621e+04   7.447949e-04  -1.246628e-03   7.447960e-04   3.510620e+04  -2.283705e-03  -1.246629e-03  -2.283705e-03   3.222941e+04
   5.80000   1.114553e+04   5.378027e-04  -1.491256e-03   5.378049e-04   1.114553e+04   8.777135e-04  -1.491253e-03   8.777163e-04   2.754586e+03
   5.90000   3.183383e+04   2.743420e-04  -1.046189e-03   2.743415e-04   3.183383e+04   1.345235e-03  -1.046191e-03   1.345235e-03  -1.558708e+03
   6.00000   4.547940e+04   5.342820e-04  -2.710581e-03   5.342786e-04   4.547940e+04   1.402330e-03  -2.710582e-03   1.402329e-03   7.703507e+04
   6.10000   3.369452e+04   2.754221e-04  -1.221413e-03   2.754180e-04   3.369451e+04  -1.381449e-03  -1.221411e-03  -1.381449e-03   1.025472e+05
   6.20000   8.446352e+04  -3.774025e-04   2.118356e-03  -3.773994e-04   8.446352e+04  -2.114718e-03   2.118357e-03  -2.114718e-03   1.110533e+05
   6.30000   8.118810e+04   1.895400e-04  -1.365997e-03   1.895411e-04   8.118810e+04  -6.879769e-03  -1.365996e-03  -6.879769e-03   1.078315e+05
   6.40000   7.021389e+04   7.071793e-05   9.898904e-05   7.071800e-05   7.021389e+04  -5.081808e-03   9.899073e-05  -5.081807e-03   7.936104e+04
   6.50000   7.349619e+04  -2.961355e-04  -1.645793e-04  -2.961366e-04   7.349619e+04  -4.534074e-03  -1.645805e-04  -4.534073e-03   6.114395e+04
   6.60000   4.971751e+04  -9.498119e-05   4.495651e-04  -9.498029e-05   4.971751e+04  -4.657332e-03   4.495652e-04  -4.657332e-03   3.457478e+04
   6.70000   5.511428e+04   1.175829e-04   1.410499e-03   1.175853e-04   5.511428e+04  -3.344065e-03   1.410499e-03  -3.344065e-03   2.896435e+04
   6.80000   6.686208e+04   1.476683e-04   7.223016e-04   1.476669e-04   6.686208e+04  -4.758739e-03   7.223018e-04  -4.758738e-03   1.420078e+04
   6.90000   7.286844e+04   3.096684e-04   1.540815e-03   3.096678e-04   7.286844e+04  -3.333154e-03   1.540816e-03  -3.333153e-03   3.487409e+03
   7.00000   9.424505e+04  -2.593037e-04   1.177585e-03  -2.593039e-04   9.424505e+04  -4.164312e-03   1.177584e-03  -4.164312e-03   9.506280e+03
   7.10000   9.146615e+04   2.356698e-04  -1.039378e-03   2.356711e-04   9.146615e+04  -4.816215e-03  -1.039378e-03  -4.816216e-03   1.927740e+04
   7.20000   9.438721e+04  -6.013508e-04  -1.767553e-03  -6.013488e-04   9.438721e+04  -3.438720e-03  -1.767554e-03  -3.438718e-03   5.441074e+04
   7.30000   8.583707e+04  -4.044602e-04  -1.856260e-03  -4.044606e-04   8.583707e+04  -3.566489e-03  -1.856260e-03  -3.566488e-03   4.986800e+04
   7.40000   6.627075e+04  -3.479654e-04  -2.564554e-03  -3.479656e-04   6.627074e+04  -4.446071e-03  -2.564554e-03  -4.446070e-03   3.966705e+04
   7.50000   5.447856e+04  -3.052250e-04  -2.193930e-03  -3.052251e-04   5.447856e+04  -3.617265e-03  -2.193931e-03  -3.617266e-03   2.663123e+04
   7.60000   5.681046e+04  -3.469383e-04  -2.599683e-04  -3.469382e-04   5.681045e+04  -3.568493e-03  -2.599680e-04  -3.568494e-03   2.826644e+04
   7.70000   6.008602e+04   2.428570e-04  -5.160044e-04   2.428573e-04   6.008602e+04  -3.855847e-03  -5.160046e-04  -3.855847e-03   3.157852e+04
   7.80000   6.667595e+04   2.862066e-04  -7.467946e-04   2.862056e-04   6.667595e+04  -1.584621e-03  -7.467941e-04  -1.584620e-03   4.025824e+04
   7.90000   6.781494e+04   5.477377e-04  -9.044798e-04   5.477392e-04   6.781493e+04  -2.401134e-03  -9.044806e-04  -2.401134e-03   4.250896e+04
   8.00000   6.427396e+04   2.827256e-04  -9.868060e-04   2.827257e-04   6.427396e+04  -1.863087e-03  -9.868052e-04  -1.863086e-03   4.661320e+04
   8.10000   4.946560e+04   3.211349e-04  -5.942399e-04   3.211353e-04   4.946560e+04  -3.025121e-03  -5.942401e-04  -3.025121e-03   5.543756e+04
   8.20000   4.417006e+04   5.199169e-04  -2.268816e-03   5.199174e-04   4.417006e+04  -9.564986e-04  -2.268817e-03  -9.564988e-04   6.420566e+04
   8.30000   4.842877e+04   6.640998e-04  -1.462872e-03   6.641014e-04   4.842877e+04  -1.625989e-03  -1.462871e-03  -1.625988e-03   6.761893e+04
   8.40000   7.272879e+04  -2.895387e-05   9.179603e-04  -2.895490e-05   7.272879e+04  -3.211591e-03   9.179624e-04  -3.211591e-03   8.580036e+04
   8.50000   8.575551e+04   5.332043e-04   2.861833e-04   5.332029e-04   8.575551e+04  -1.732948e-03   2.861818e-04  -1.732948e-03   8.118625e+04
   8.60000   9.519953e+04   3.655191e-05   1.662919e-03   3.655272e-05   9.519953e+04  -2.728089e-03   1.662918e-03  -2.728090e-03   7.106725e+04
   8.70000   8.752351e+04   1.242251e-04   4.065522e-03   1.242238e-04   8.752351e+04  -3.653063e-03   4.065521e-03  -3.653063e-03   6.002933e+04
   8.80000   7.805370e+04  -3.506265e-05   2.101481e-03  -3.506268e-05   7.805370e+04  -2.672037e-03   2.101482e-03  -2.672036e-03   5.200862e+04
   8.90000   8.430926e+04  -1.266008e-05   4.918148e-03  -1.265979e-05   8.430926e+04  -3.437902e-03   4.918148e-03  -3.437902e-03   8.632711e+04
   9.00000   6.782509e+04  -3.314496e-04   4.376205e-03  -3.314494e-04   6.782509e+04  -1.850381e-03   4.376205e-03  -1.850380e-03   7.480027e+04
   9.10000   5.997770e+04  -6.959994e-05   2.701410e-03  -6.959988e-05   5.997769e+04  -3.741060e-03   2.701410e-03  -3.741059e-03   7.384573e+04
   9.20000   5.929412e+04  -7.516945e-05   7.380386e-04  -7.516951e-05   5.929411e+04  -1.297521e-03   7.380382e-04  -1.297521e-03   7.585124e+04
   9.30000   5.994528e+04   2.649759e-04   4.755746e-04   2.649769e-04   5.994528e+04  -6.931851e-04   4.755754e-04  -6.931848e-04   8.235995e+04
   9.40000   5.022752e+04  -1.029637e-05   7.312682e-04  -1.029747e-05   5.022752e+04   5.789203e-04   7.312686e-04   5.789203e-04   7.575873e+04
   9.50000   6.170661e+04  -4.690949e-05  -4.054507e-04  -4.690923e-05   6.170661e+04   8.041967e-04  -4.054504e-04   8.041954e-04   7.505753e+04
   9.60000   7.211931e+04   1.432087e-04  -2.104393e-03   1.432099e-04   7.211931e+04   1.898252e-03  -2.104391e-03   1.898252e-03   8.410151e+04
   9.70000   6.947199e+04   2.455989e-04  -1.649217e-03   2.455991e-04   6.947199e+04   5.276503e-04  -1.649217e-03   5.276508e-04   7.002672e+04
   9.80000   6.257139e+04   4.343184e-04  -1.195043e-03   4.343183e-04   6.257139e+04   1.152449e-03  -1.195044e-03   1.152449e-03   6.658804e+04
   9.90000   6.111348e+04   5.628414e-04  -1.065209e-03   5.628412e-04   6.111348e+04   1.035038e-03  -1.065209e-03   1.035038e-03   6.577471e+04
  10.00000   5.954916e+04   5.293418e-04  -3.250223e-04   5.293413e-04   5.954916e+04   7.877272e-04  -3.250223e-04   7.877267e-04   5.386632e+04
  10.10000   6.396878e+04   5.265245e-04   6.697874e-04   5.265242e-04   6.396878e+04  -3.331195e-04   6.697873e-04  -3.331199e-04   5.399056e+04
  10.20000   6.054776e+04   4.107055e-04  -1.480900e-03   4.107068e-04   6.054776e+04   1.100103e-03  -1.480901e-03   1.100104e-03   6.555646e+04
  10.30000   5.982201e+04   5.727670e-04  -2.583475e-03   5.727662e-04   5.982200e+04   8.662012e-04  -2.583475e-03   8.662007e-04   6.398337e+04
  10.40000   6.638165e+04   8.597106e-04  -1.520663e-03   8.597096e-04   6.638165e+04   5.803023e-04  -1.520663e-03   5.803022e-04   5.917016e+04
  10.50000   6.402951e+04   5.460069e-04  -2.883486e-03   5.460076e-04   6.402951e+04   6.974920e-04  -2.883486e-03   6.974927e-04   5.795957e+04
  10.60000   5.116869e+04   4.473427e-04  -1.776019e-03   4.473420e-04   5.116869e+04   1.008118e-03  -1.776017e-03   1.008118e-03   4.956076e+04
  10.70000   4.780445e+04   1.494765e-04   6.626655e-04   1.494772e-04   4.780445e+04   1.072123e-03   6.626655e-04   1.072123e-03   5.234173e+04
  10.80000   6.188570e+04  -5.785187e-05   1.652074e-03  -5.785017e-05   6.188570e+04   1.754372e-03   1.652074e-03   1.754371e-03   5.631429e+04
  10.90000   8.123205e+04  -1.154632e-04   1.467316e-03  -1.154626e-04   8.123205e+04   1.070933e-03   1.467316e-03   1.070934e-03   5.357612e+04
  11.00000   8.581463e+04   2.593165e-04   1.667980e-03   2.593154e-04   8.581463e+04   1.022193e-03   1.667981e-03   1.022192e-03   4.659819e+04
  11.10000   8.140232e+04  -9.220817e-05   2.222358e-03  -9.220779e-05   8.140232e+04  -5.876589e-04   2.222357e-03  -5.876585e-04   4.539173e+04
  11.20000   7.715284e+04  -4.386258e-04   2.457093e-03  -4.386260e-04   7.715284e+04  -5.942771e-04   2.457093e-03  -5.942773e-04   3.526827e+04
  11.30000   7.525896e+04   1.425228e-04   2.105584e-03   1.425229e-04   7.525896e+04   3.506850e-04   2.105584e-03   3.506855e-04   3.204453e+04
  11.40000   6.861221e+04  -2.480119e-04   2.635699e-03  -2.480126e-04   6.861222e+04  -6.386584e-04   2.635699e-03  -6.386591e-04   2.716028e+04
  11.50000   6.642736e+04  -6.616381e-05   2.066438e-03  -6.616360e-05   6.642736e+04   7.450808e-04   2.066437e-03   7.450806e-04   3.446132e+04
  11.60000   6.335588e+04   2.729125e-04  -5.789569e-04   2.729124e-04   6.335588e+04   2.152605e-03  -5.789561e-04   2.152605e-03   4.495254e+04
  11.70000   6.555117e+04  -3.602461e-05  -1.309670e-03  -3.602430e-05   6.555117e+04   2.904494e-03  -1.309669e-03   2.904494e-03   4.981625e+04
  11.80000   6.129468e+04  -2.447852e-04  -6.427655e-04  -2.447858e-04   6.129468e+04   7.808682e-04  -6.427658e-04   7.808691e-04   5.248358e+04
  11.90000   6.414795e+04   1.472354e-04  -9.288762e-05   1.472339e-04   6.414795e+04   6.102868e-05  -9.288746e-05   6.102803e-05   5.490671e+04
  12.00000   7.807729e+04  -2.468738e-04   3.311125e-05  -2.468739e-04   7.807729e+04   9.224690e-04   3.311125e-05   9.224698e-04   5.653401e+04
  12.10000   7.777728e+04   1.460554e-05   9.973344e-04   1.460638e-05   7.777729e+04   2.901856e-03   9.973338e-04   2.901856e-03   5.470001e+04
  12.20000   7.533211e+04   1.451860e-05   8.276023e-04   1.451917e-05   7.533211e+04   1.327859e-03   8.276029e-04   1.327858e-03   5.980817e+04
  12.30000   6.726054e+04   4.604017e-04   7.457320e-04   4.604014e-04   6.726054e+04   2.355784e-03   7.457316e-04   2.355784e-03   5.463070e+04
  12.40000   6.372398e+04   4.037182e-04   1.854712e-04   4.037185e-04   6.372398e+04   1.476321e-03   1.854715e-04   1.476321e-03   5.905995e+04
  12.50000   6.400131e+04   6.605949e-04  -1.103487e-03   6.605950e-04   6.400132e+04   1.078036e-03  -1.103487e-03   1.078035e-03   5.886861e+04
  12.60000   6.527083e+04  -1.334895e-04  -1.143710e-03  -1.334892e-04   6.527083e+04   2.743740e-03  -1.143711e-03   2.743741e-03   6.777624e+04
  12.70000   6.520790e+04  -3.038755e-04  -4.894444e-04  -3.038756e-04   6.520790e+04   1.514506e-03  -4.894442e-04   1.514506e-03   7.018642e+04
  12.80000   7.336174e+04  -4.310123e-04  -1.357234e-03  -4.310125e-04   7.336173e+04   8.667755e-04  -1.357234e-03   8.667758e-04   7.570511e+04
  12.90000   7.196092e+04  -1.754588e-04  -1.935133e-03  -1.754592e-04   7.196092e+04   1.106609e-03  -1.935132e-03   1.106609e-03   6.987874e+04
  13.00000   7.325768e+04  -1.207956e-04  -2.684129e-03  -1.207947e-04   7.325768e+04   1.302185e-03  -2.684130e-03   1.302185e-03   7.484640e+04
  13.10000   7.147850e+04  -2.346692e-04  -2.456828e-03  -2.346683e-04   7.147849e+04   1.602709e-03  -2.456828e-03   1.602708e-03   7.624009e+04
  13.20000   7.286909e+04  -8.393376e-05  -1.827919e-03  -8.393448e-05   7.286909e+04   1.751475e-03  -1.827919e-03   1.751475e-03   6.674168e+04
  13.30000   7.166265e+04  -1.518098e-04  -2.000377e-03  -1.518103e-04   7.166265e+04   1.383562e-03  -2.000377e-03   1.383562e-03   6.505940e+04
  13.40000   6.986203e+04  -1.252216e-04  -1.307587e-03  -1.252216e-04   6.986203e+04   1.325236e-03  -1.307587e-03   1.325236e-03   6.086693e+04
  13.50000   6.960537e+04  -2.409157e-04  -4.502138e-04  -2.409150e-04   6.960537e+04   2.212928e-04  -4.502134e-04   2.212927e-04   5.950978e+04
  13.60000   6.812741e+04  -7.083718e-05  -3.249026e-04  -7.083669e-05   6.812741e+04   1.087769e-04  -3.249027e-04   1.087770e-04   6.416659e+04
  13.70000   6.390527e+04  -4.243215e-05   7.562387e-05  -4.243243e-05   6.390527e+04  -1.278218e-03   7.562394e-05  -1.278218e-03   6.248785e+04
  13.80000   6.142611e+04   2.872103e-06   3.744248e-04   2.871971e-06   6.142612e+04  -1.294042e-03   3.744252e-04  -1.294042e-03   6.712660e+04
  13.90000   6.085141e+04   3.758077e-05  -5.129418e-04   3.758087e-05   6.085141e+04  -1.056265e-03  -5.129424e-04  -1.056264e-03   6.556117e+04
  14.00000   6.146582e+04   5.451537e-05  -1.237472e-03   5.451556e-05   6.146582e+04  -1.661734e-03  -1.237472e-03  -1.661734e-03   6.471063e+04
  14.10000   6.277655e+04   3.046708e-06  -1.078668e-03   3.046940e-06   6.277655e+04  -7.322197e-04  -1.078668e-03  -7.322202e-04   6.308461e+04
  14.20000   5.951375e+04   6.724597e-05  -1.390041e-03   6.724563e-05   5.951375e+04  -2.334996e-03  -1.390041e-03  -2.334996e-03   5.971615e+04
  14.30000   6.044738e+04  -1.186273e-04  -1.635536e-03  -1.186274e-04   6.044738e+04  -4.093942e-03  -1.635536e-03  -4.093942e-03   5.844443e+04
  14.40000   5.686345e+04   6.612080e-05  -7.465021e-04   6.612086e-05   5.686345e+04  -2.232460e-03  -7.465019e-04  -2.232460e-03   5.127545e+04
  14.50000   5.462558e+04  -4.178439e-05  -9.066258e-04  -4.178474e-05   5.462558e+04  -2.276464e-03  -9.066259e-04  -2.276464e-03   4.827555e+04
  14.60000   5.233645e+04   3.152145e-05  -1.198032e-03   3.152158e-05   5.233645e+04   2.533738e-04  -1.198032e-03   2.533734e-04   4.883684e+04
  14.70000   5.033895e+04   1.620296e-05  -1.635032e-03   1.620312e-05   5.033895e+04   9.528679e-04  -1.635033e-03   9.528683e-04   4.392872e+04
  14.80000   5.185059e+04   1.382298e-04  -2.401332e-03   1.382299e-04   5.185060e+04  -1.736542e-04  -2.401332e-03  -1.736540e-04   4.224136e+04
  14.90000   5.099100e+04   3.440659e-05  -2.225102e-03   3.440651e-05   5.099101e+04  -2.020200e-04  -2.225102e-03  -2.020199e-04   3.928658e+04
  15.00000   5.146118e+04  -2.333401e-04  -2.401289e-03  -2.333400e-04   5.146118e+04  -4.292392e-04  -2.401289e-03  -4.292393e-04   3.996854e+04
  15.10000   5.184674e+04   3.150031e-05  -1.954020e-03   3.150028e-05   5.184674e+04  -1.183205e-03  -1.954020e-03  -1.183205e-03   3.713603e+04
  15.20000   5.012895e+04  -2.168518e-05  -2.313921e-03  -2.168527e-05   5.012895e+04  -1.067624e-03  -2.313922e-03  -1.067624e-03   3.132088e+04
  15.30000   4.916202e+04  -1.263721e-04  -2.652970e-03  -1.263722e-04   4.916202e+04  -9.487531e-04  -2.652970e-03  -9.487531e-04   3.187473e+04
  15.40000   4.592508e+04  -1.696233e-04  -2.742152e-03  -1.696235e-04   4.592508e+04  -1.349622e-03  -2.742152e-03  -1.349622e-03   3.516948e+04
  15.50000   4.402816e+04  -1.822387e-04  -2.400846e-03  -1.822389e-04   4.402816e+04  -1.690681e-03  -2.400846e-03  -1.690681e-03   3.632985e+04
  15.60000   4.154493e+04  -1.653050e-04  -1.713369e-03  -1.653051e-04   4.154493e+04  -7.943118e-04  -1.713368e-03  -7.943118e-04   3.925182e+04
  15.70000   4.048743e+04   4.945863e-05  -1.561542e-03   4.945870e-05   4.048743e+04  -1.805056e-03  -1.561543e-03  -1.805056e-03   2.949345e+04
  15.80000   3.856363e+04   2.385710e-05  -9.957008e-04   2.385737e-05   3.856364e+04   2.998050e-04  -9.957016e-04   2.998041e-04   3.336765e+04
  15.90000   3.979050e+04   1.967189e-04   1.421731e-07   1.967190e-04   3.979050e+04   2.375276e-03   1.425217e-07   2.375275e-03   5.696084e+04
  16.00000   3.588414e+04   3.418536e-05   6.134010e-05   3.418487e-05   3.588414e+04   1.205938e-03   6.134006e-05   1.205939e-03   5.211031e+04
  16.10000   3.527145e+04  -6.334589e-05  -2.402105e-04  -6.334605e-05   3.527145e+04   1.076546e-03  -2.402114e-04   1.076547e-03   4.549036e+04
  16.20000   3.701488e+04  -1.560058e-04  -7.848331e-04  -1.560054e-04   3.701488e+04   1.241274e-03  -7.848327e-04   1.241274e-03   4.712552e+04
  16.30000   3.722620e+04   1.020907e-05  -4.804677e-04   1.020902e-05   3.722620e+04   1.969254e-03  -4.804671e-04   1.969253e-03   4.678850e+04
  16.40000   3.789545e+04   1.276597e-04  -6.043426e-04   1.276599e-04   3.789545e+04   1.375844e-03  -6.043429e-04   1.375844e-03   4.940581e+04
  16.50000   3.717273e+04  -4.985249e-05  -1.300898e-03  -4.985299e-05   3.717273e+04  -1.758051e-04  -1.300898e-03  -1.758053e-04   5.143389e+04
  16.60000   3.654894e+04   7.820257e-05  -1.594181e-03   7.820263e-05   3.654894e+04  -9.694281e-05  -1.594181e-03  -9.694282e-05   4.714245e+04
  16.70000   3.581975e+04  -1.129652e-04  -1.580754e-03  -1.129650e-04   3.581975e+04  -3.848867e-05  -1.580753e-03  -3.848902e-05   4.338882e+04
  16.80000   3.628144e+04   3.221227e-06  -1.510743e-03   3.220803e-06   3.628144e+04  -1.468745e-03  -1.510743e-03  -1.468745e-03   4.674047e+04
