# omega(eV)            xx             xy             xz             yx             yy             yz             zx             zy             zz (Siemens/meter)
  12.00000   6.395625e+04  -6.369455e-05  -6.496537e-04  -6.369486e-05   6.395625e+04   2.121887e-03  -6.496538e-04   2.121887e-03   7.218226e+04
  12.10000   5.832984e+04   1.866831e-04  -5.816176e-04   1.866842e-04   5.832984e+04   1.886081e-03  -5.816169e-04   1.886080e-03   7.350185e+04
  12.20000   4.834419e+04  -7.704192e-05  -1.736208e-03  -7.704260e-05   4.834419e+04   8.302200e-04  -1.736208e-03   8.302198e-04   7.111559e+04
  12.30000   4.692949e+04   2.997409e-04  -2.133994e-03   2.997404e-04   4.692949e+04   5.947424e-04  -2.133993e-03   5.947425e-04   6.923536e+04
  12.40000   5.041110e+04   2.798880e-05  -3.236239e-03   2.798930e-05   5.041110e+04  -2.396423e-04  -3.236240e-03  -2.396427e-04   7.429554e+04
  12.50000   5.412111e+04  -7.277975e-04  -2.464753e-03  -7.277980e-04   5.412111e+04   4.500206e-04  -2.464753e-03   4.500206e-04   7.312629e+04
  12.60000   5.316378e+04  -7.332233e-04  -1.558078e-03  -7.332235e-04   5.316378e+04   8.670473e-04  -1.558079e-03   8.670476e-04   7.430439e+04
  12.70000   5.736850e+04  -3.139659e-04  -2.427867e-03  -3.139658e-04   5.736850e+04  -1.049987e-03  -2.427866e-03  -1.049987e-03   7.176355e+04
  12.80000   5.370659e+04  -7.115028e-05  -2.448941e-03  -7.115005e-05   5.370659e+04  -6.997053e-04  -2.448941e-03  -6.997057e-04   6.047829e+04
  12.90000   5.203752e+04  -3.668862e-05  -2.442741e-03  -3.668864e-05   5.203752e+04   6.381414e-05  -2.442741e-03   6.381438e-05   6.012927e+04
  13.00000   4.816405e+04  -2.291430e-04  -1.496514e-03  -2.291425e-04   4.816406e+04  -1.158768e-04  -1.496514e-03  -1.158767e-04   6.275556e+04
  13.10000   4.649923e+04  -9.153404e-05  -7.808211e-04  -9.153368e-05   4.649923e+04  -1.667873e-04  -7.808209e-04  -1.667876e-04   4.844910e+04
  13.20000   4.471124e+04  -1.189061e-04  -3.037213e-04  -1.189063e-04   4.471124e+04  -3.962473e-04  -3.037212e-04  -3.962476e-04   4.459276e+04
  13.30000   3.899121e+04   2.184163e-05  -1.940735e-04   2.184195e-05   3.899121e+04  -1.399845e-03  -1.940741e-04  -1.399845e-03   4.647256e+04
  13.40000   4.024286e+04   6.150938e-05   8.382099e-04   6.150970e-05   4.024286e+04  -1.798419e-03   8.382103e-04  -1.798419e-03   4.643250e+04
  13.50000   3.652819e+04  -1.713108e-04  -1.838048e-04  -1.713105e-04   3.652819e+04  -1.922700e-03  -1.838048e-04  -1.922700e-03   4.761774e+04
  13.60000   3.393239e+04   5.596750e-05   1.074785e-04   5.596713e-05   3.393239e+04  -2.061910e-03   1.074784e-04  -2.061910e-03   4.997925e+04
  13.70000   3.198190e+04   8.401778e-05  -1.003561e-04   8.401759e-05   3.198190e+04  -2.190411e-03  -1.003561e-04  -2.190410e-03   4.911965e+04
  13.80000   3.291335e+04   1.026602e-04  -1.253738e-03   1.026601e-04   3.291335e+04  -1.294803e-03  -1.253739e-03  -1.294803e-03   4.347010e+04
  13.90000   3.441540e+04   6.404714e-05  -2.035387e-03   6.404712e-05   3.441540e+04  -7.526342e-04  -2.035387e-03  -7.526343e-04   4.263080e+04
  14.00000   3.547944e+04  -1.378209e-04  -1.213813e-03  -1.378208e-04   3.547944e+04  -5.269488e-04  -1.213813e-03  -5.269487e-04   3.764426e+04
  14.10000   3.102164e+04   9.408997e-05  -1.115111e-03   9.408966e-05   3.102164e+04  -1.327850e-03  -1.115112e-03  -1.327851e-03   3.472971e+04
  14.20000   3.034483e+04  -1.417109e-04  -1.572602e-03  -1.417109e-04   3.034483e+04  -1.977745e-03  -1.572601e-03  -1.977745e-03   3.357950e+04
  14.30000   2.900495e+04   1.064491e-05  -4.714981e-04   1.064486e-05   2.900495e+04  -1.757716e-04  -4.714980e-04  -1.757713e-04   2.885116e+04
  14.40000   2.725363e+04  -4.108471e-05  -5.513075e-04  -4.108479e-05   2.725363e+04   2.161335e-03  -5.513075e-04   2.161335e-03   3.012722e+04
  14.50000   2.689543e+04   5.820849e-05  -1.346799e-03   5.820863e-05   2.689543e+04   1.667855e-03  -1.346799e-03   1.667854e-03   3.107046e+04
  14.60000   2.628383e+04  -5.146735e-05  -1.320558e-03  -5.146727e-05   2.628383e+04   2.638009e-03  -1.320558e-03   2.638009e-03   3.158083e+04
  14.70000   2.965074e+04   6.002202e-05  -1.667030e-03   6.002197e-05   2.965074e+04   1.178899e-03  -1.667030e-03   1.178899e-03   3.036399e+04
  14.80000   2.975472e+04  -6.325105e-05  -1.306498e-03  -6.325107e-05   2.975472e+04   1.677954e-04  -1.306498e-03   1.677952e-04   3.235539e+04
  14.90000   2.905590e+04  -2.190865e-04  -5.498889e-04  -2.190865e-04   2.905590e+04  -1.941624e-04  -5.498889e-04  -1.941624e-04   3.425069e+04
  15.00000   2.935662e+04  -6.880267e-05  -5.601112e-04  -6.880269e-05   2.935662e+04   1.905477e-04  -5.601113e-04   1.905477e-04   3.440096e+04
  15.10000   2.728732e+04  -1.350544e-04  -2.372976e-04  -1.350547e-04   2.728732e+04  -1.421108e-04  -2.372977e-04  -1.421110e-04   3.401017e+04
  15.20000   2.461146e+04  -1.050800e-04  -6.504639e-04  -1.050799e-04   2.461146e+04   9.934682e-04  -6.504640e-04   9.934683e-04   3.659050e+04
  15.30000   2.397470e+04  -2.850745e-06  -1.379582e-05  -2.850874e-06   2.397470e+04   7.656860e-04  -1.379584e-05   7.656864e-04   4.371969e+04
  15.40000   2.327782e+04  -6.206658e-05   5.910354e-04  -6.206686e-05   2.327782e+04   6.477989e-04   5.910355e-04   6.477985e-04   4.894431e+04
  15.50000   2.280922e+04   1.208334e-04   1.312292e-03   1.208335e-04   2.280922e+04   1.463988e-03   1.312292e-03   1.463988e-03   4.525915e+04
  15.60000   2.474278e+04   1.225729e-04   1.277026e-03   1.225729e-04   2.474278e+04   1.642151e-03   1.277026e-03   1.642151e-03   4.601003e+04
  15.70000   2.407206e+04   1.088410e-04   1.270781e-03   1.088414e-04   2.407206e+04   1.846606e-03   1.270781e-03   1.846606e-03   4.533559e+04
  15.80000   2.664066e+04   7.114960e-06   2.096138e-03   7.115187e-06   2.664066e+04   4.646981e-03   2.096138e-03   4.646981e-03   6.701490e+04
  15.90000   2.660964e+04   7.862706e-05   1.458710e-03   7.862647e-05   2.660964e+04   1.362673e-03   1.458711e-03   1.362674e-03   5.696083e+04
  16.00000   2.558437e+04  -1.650810e-04   6.434292e-04  -1.650809e-04   2.558437e+04   8.833125e-04   6.434290e-04   8.833126e-04   4.529919e+04
  16.10000   2.969188e+04   2.461226e-05  -1.600027e-05   2.461247e-05   2.969188e+04   7.849045e-04  -1.600006e-05   7.849043e-04   4.514783e+04
  16.20000   3.009226e+04   4.442094e-05   2.186581e-04   4.442118e-05   3.009226e+04   3.966680e-04   2.186589e-04   3.966680e-04   4.630732e+04
  16.30000   3.097939e+04   4.629414e-05   1.666356e-04   4.629387e-05   3.097939e+04  -4.333339e-04   1.666354e-04  -4.333337e-04   4.558180e+04
  16.40000   3.027481e+04   1.029105e-04  -4.589617e-04   1.029102e-04   3.027481e+04  -9.585924e-04  -4.589619e-04  -9.585923e-04   4.777178e+04
  16.50000   2.915907e+04   6.609188e-05  -2.843805e-04   6.609162e-05   2.915907e+04  -8.907230e-04  -2.843808e-04  -8.907231e-04   4.284874e+04
  16.60000   3.009086e+04  -3.888614e-05  -1.604857e-05  -3.888580e-05   3.009086e+04  -2.276126e-04  -1.604835e-05  -2.276124e-04   3.893778e+04
  16.70000   3.030515e+04   2.041339e-05   5.041650e-04   2.041342e-05   3.030515e+04  -1.057664e-03   5.041653e-04  -1.057664e-03   4.234955e+04
  16.80000   2.913619e+04   1.048242e-04   1.102586e-03   1.048238e-04   2.913619e+04   1.498994e-04   1.102586e-03   1.498996e-04   4.213580e+04
  16.90000   3.119700e+04  -1.119686e-04   1.848385e-03  -1.119683e-04   3.119700e+04   1.300106e-03   1.848385e-03   1.300106e-03   4.778653e+04
