mode,frequency_cm-1,activity_normalized,depolarization_ratio,Rxx,Rxy,Rxz,Ryx,Ryy,Ryz,Rzx,Rzy,Rzz
15,285.0334003799389,1.2952663384349182e-10,0.7500000000000001,0.0,-1.998950012770337e-06,-2.9426134997757956e-13,-1.998950012770337e-06,0.0,-1.0510123805958386e-05,-2.9426134997757956e-13,-1.0510123805958386e-05,0.0
16,323.94736375923105,6.277871466331477e-13,0.75,0.0,7.204694890554391e-13,-3.080416088988348e-07,7.204694890554391e-13,0.0,7.600850118062442e-07,-3.080416088988348e-07,7.600850118062442e-07,0.0
17,323.9777102031033,6.09914345191639e-10,0.75,0.0,2.556327649874168e-05,-1.47130674912725e-13,2.556327649874168e-05,0.0,-2.818958994389614e-07,-1.47130674912725e-13,-2.818958994389614e-07,0.0
18,345.8355801966173,9.8764041821255e-13,0.7499999999999999,0.0,-3.082692200529698e-07,-1.0344737156869707e-06,-3.082692200529698e-07,0.0,0.0,-1.0344737156869707e-06,0.0,0.0
19,345.83750730647137,5.6580228020107635e-12,0.75,0.0,2.5356685904135527e-06,-2.059829449196506e-12,2.5356685904135527e-06,0.0,-4.954537200263138e-07,-2.059829449196506e-12,-4.954537200263138e-07,0.0
20,356.0026610809536,6.59107863806142e-07,0.75,0.0,-0.0009006224669426368,1.4713067492793793e-12,-0.0009006224669426368,0.0,-7.266864957251102e-07,1.4713067492793793e-12,-7.266864957251102e-07,0.0
21,356.01330758961257,1.0051469763040646e-06,0.33334018588315417,-0.0014713067492978479,-4.139861411349154e-12,-4.852297418422093e-06,-4.139861411349154e-12,0.0,-1.7767589467171498e-06,-4.852297418422093e-06,-1.7767589467171498e-06,0.0
22,380.19928993343797,6.183864190263199e-13,0.7499999999999999,0.0,1.5752948659432778e-09,-9.017240343059268e-07,1.5752948659432778e-09,0.0,-1.5355881413009986e-07,-9.017240343059268e-07,-1.5355881413009986e-07,0.0
23,380.2106590686815,3.97835519764282e-11,0.7499999999999999,0.0,-7.319932049089144e-06,-1.6184374244202987e-12,-7.319932049089144e-06,0.0,4.988274264027316e-07,-1.6184374244202987e-12,4.988274264027316e-07,0.0
24,383.98112148972075,8.196943750651481e-06,0.75,0.0,-8.184187932845042e-07,4.4139202481423975e-13,-8.184187932845042e-07,0.0,-0.0033538996449568315,4.4139202481423975e-13,-0.0033538996449568315,0.0
25,383.98577799779076,8.19732624596149e-06,0.75,0.0,-3.1202620183761102e-06,0.00335400557904279,-3.1202620183761102e-06,0.0,2.9190725908480776e-10,0.00335400557904279,2.9190725908480776e-10,0.0
26,412.387970647347,3.1454174625968588e-12,0.75,0.0,1.5933170685745727e-06,1.4956125897886124e-06,1.5933170685745727e-06,0.0,2.0598294492041126e-11,1.4956125897886124e-06,2.0598294492041126e-11,0.0
27,521.5805757328292,2.0237800539732657e-10,0.75,0.0,-1.9499194509993278e-07,2.0584910014364958e-05,-1.9499194509993278e-07,0.0,2.0598294491858571e-10,2.0584910014364958e-05,2.0598294491858571e-10,0.0
28,521.5870242105958,2.252510189187396e-10,0.75,0.0,-2.2651326503868545e-06,-1.427167546934872e-11,-2.2651326503868545e-06,0.0,2.1599751201310386e-05,-1.427167546934872e-11,2.1599751201310386e-05,0.0
29,554.919822455974,5.275423090120773e-11,0.75,0.0,-2.4546655030629463e-06,-8.254030864250673e-12,-2.4546655030629463e-06,0.0,1.0672713500916416e-05,-8.254030864250673e-12,1.0672713500916416e-05,0.0
30,573.7983946680873,0.0010420172437228922,0.7499999999999999,0.0,-0.04975420928264389,-1.3388891419720241e-11,-0.04975420928264389,0.0,-3.0045872932140975e-07,-1.3388891419720241e-11,-3.0045872932140975e-07,0.0
31,573.8473241945267,0.0010532488308279831,0.75,0.050024429480373875,-1.0216827633302217e-12,3.6603757834742794e-07,-1.0216827633302217e-12,-0.050024429480373875,-1.640198051184681e-07,3.6603757834742794e-07,-1.640198051184681e-07,0.0
32,582.2205804190045,6.570987266520701e-12,0.7499999999999999,0.0,-2.2628903789007407e-11,-2.7467469648667845e-06,-2.2628903789007407e-11,0.0,-2.892495641378944e-06,-2.7467469648667845e-06,-2.892495641378944e-06,0.0
33,582.2441885712816,6.585937743013353e-10,0.75,0.0,-3.993519356824955e-05,-1.4713067498878978e-13,-3.993519356824955e-05,0.0,4.032116146782479e-09,-1.4713067498878978e-13,4.032116146782479e-09,0.0
34,596.7028865782875,3.5809099074542473e-11,0.75,0.0,1.7543483554236211e-06,2.5012214740487784e-12,1.7543483554236211e-06,0.0,-9.29820255123505e-06,2.5012214740487784e-12,-9.29820255123505e-06,0.0
35,596.7409693475345,1.6566406643605573e-11,0.75,0.0,2.1555217688618972e-07,-6.432600190275356e-06,2.1555217688618972e-07,0.0,-7.356533747918192e-13,-6.432600190275356e-06,-7.356533747918192e-13,0.0
36,603.4893482610561,1.7423067124975788e-12,0.75,0.0,-2.5336343617018207e-13,-1.1955070329393332e-06,-2.5336343617018207e-13,0.0,-1.7296433495327784e-06,-1.1955070329393332e-06,-1.7296433495327784e-06,0.0
37,603.5068385642977,7.567054907622785e-12,0.7500000000000001,0.0,4.369648628166647e-06,-1.515445951901523e-12,4.369648628166647e-06,0.0,3.2776056219884156e-07,-1.515445951901523e-12,3.2776056219884156e-07,0.0
38,603.7616568659644,3.4083209202128496e-12,0.7499999999999999,0.0,-2.1682135551437347e-06,1.988000400810487e-06,-2.1682135551437347e-06,0.0,1.1770453996060592e-12,1.988000400810487e-06,1.1770453996060592e-12,0.0
39,603.7803058007551,1.0670868774488371e-10,0.7500000000000001,0.0,-3.7143756837914565e-06,1.4713067498878978e-13,-3.7143756837914565e-06,0.0,1.6035402963922347e-05,1.4713067498878978e-13,1.6035402963922347e-05,0.0
40,651.4704115905412,1.1052787482989612e-11,0.75,0.0,-1.7806638536823774e-06,-5.271503755903947e-06,-1.7806638536823774e-06,0.0,1.765568099256959e-12,-5.271503755903947e-06,1.765568099256959e-12,0.0
41,655.9877949831547,1.9112336157750437e-12,0.75,0.0,1.0877856329681126e-12,2.2314644437785525e-06,1.0877856329681126e-12,0.0,-6.494427442499438e-07,2.2314644437785525e-06,-6.494427442499438e-07,0.0
42,656.001637406102,3.4986460312977505e-12,0.75,0.0,-3.114144324912026e-06,-4.413920249663693e-13,-3.114144324912026e-06,0.0,-4.355025310384172e-07,-4.413920249663693e-13,-4.355025310384172e-07,0.0
43,672.5543073101593,3.940207230489483e-12,0.75,0.0,9.199433729146572e-13,2.8717612510127588e-06,9.199433729146572e-13,0.0,1.8027433126788818e-06,2.8717612510127588e-06,1.8027433126788818e-06,0.0
44,672.5668492267407,7.422820651641322e-12,0.75,0.0,3.7745506585359395e-06,2.7954828238932444e-13,3.7745506585359395e-06,0.0,2.722478789949845e-06,2.7954828238932444e-13,2.722478789949845e-06,0.0
