mode,frequency_cm-1,Zmode_x,Zmode_y,Zmode_z,intensity_x,intensity_y,intensity_z,intensity_total
16,323.94736375923105,1.6657275602252608e-15,-1.4298559894692503e-15,-7.228601941455066e-05,2.774648304894e-30,2.0444881506210888e-30,5.225268602800795e-09,5.225268602800795e-09
17,323.9777102031033,1.11339739984052e-15,-4.530230357513432e-15,7.57410690794984e-15,1.2396537699716306e-30,2.0522987092136275e-29,5.73670954530535e-29,7.912973631516141e-29
18,345.8355801966173,2.2527106155948557e-06,4.254073899786007e-15,-5.854691731421724e-16,5.074705117613754e-12,1.8097144744840523e-29,3.4277415269977904e-31,5.074705117613754e-12
19,345.83750730647137,-4.1905769219280353e-16,-3.4129761148742055e-06,2.3108251423487047e-14,1.7560934938595847e-31,1.1648405960701826e-11,5.3399128385109115e-28,1.1648405960701826e-11
20,356.0026610809536,1.02706935933537e-15,1.1579279202145187e-15,1.4577305427002578e-14,1.0548714688855674e-30,1.3407970684123209e-30,2.124978335121188e-28,2.148935020494167e-28
21,356.01330758961257,-8.153200337090993e-17,-1.746541279656899e-15,1.936323517562344e-05,6.647467573674069e-33,3.0504064415455586e-30,3.749348764665009e-10,3.749348764665009e-10
22,380.19928993343797,-4.283682783490228e-15,-9.493047408575303e-16,-2.6055731136931035e-05,1.8349938189570588e-29,9.011794910145827e-31,6.789011250800374e-10,6.789011250800374e-10
23,380.2106590686815,-2.374992901216435e-15,2.2065682614424986e-15,-7.739456083534438e-16,5.6405912808284596e-30,4.868943492405371e-30,5.989918046895823e-31,1.1108526577923413e-29
24,383.98112148972075,1.3148073800207294e-13,0.06139213822330112,1.837813512189937e-15,1.7287184465569747e-26,0.0037689946356289105,3.377558505587912e-30,0.0037689946356289105
25,383.98577799779076,-0.06137477134964745,1.2018813538279608e-13,1.3083284455817079e-14,0.0037668625582215056,1.444518788679332e-26,1.711723321518248e-28,0.0037668625582215056
26,412.387970647347,-8.805078487836748e-08,-4.196587467721752e-15,-7.341349750333848e-15,7.752940717696547e-15,1.7611346374239266e-29,5.389541615672685e-29,7.752940717696618e-15
27,521.5805757328292,-0.0003257307322533016,7.586647114140057e-15,9.936496070395151e-15,1.0610050993427206e-07,5.755721443448966e-29,9.873395415697828e-29,1.0610050993427206e-07
28,521.5870242105958,7.163971534710636e-15,-0.00032238102855446614,9.92169485297102e-15,5.132248815014428e-29,1.0392952757183551e-07,9.844002875547163e-29,1.0392952757183551e-07
29,554.919822455974,-4.2932224920586796e-16,-3.491919371189506e-05,-9.558597403175328e-17,1.843175936631854e-31,1.2193500894888513e-09,9.136678431599013e-33,1.2193500894888513e-09
30,573.7983946680873,-4.148428562472661e-15,2.6645352591003757e-15,6.002143226879753e-16,1.7209459537938991e-29,7.099748146989106e-30,3.602572331597849e-31,2.4669464918087883e-29
31,573.8473241945267,-8.479870451660876e-15,-4.5913749363580795e-15,1.2626372378005124e-05,7.190820287695123e-29,2.1080723806217159e-29,1.5942527942805077e-10,1.5942527942805077e-10
32,582.2205804190045,2.713673334436492e-15,-9.3615111974074e-16,-3.893371193529078e-06,7.36402296603167e-30,8.76378918991841e-31,1.5158339250602037e-11,1.5158339250602037e-11
33,582.2441885712816,1.6540418936849405e-15,5.388051116383963e-15,5.064308347679791e-16,2.735854586064864e-30,2.903109483276647e-29,2.5647219040379217e-31,3.2023421609235124e-29
34,596.7028865782875,-7.107731287217534e-15,8.19380780972892e-06,-2.153659195425206e-15,5.051984405129102e-29,6.713848642277464e-11,4.638247930039546e-30,6.713848642277464e-11
35,596.7409693475345,2.738822717119165e-05,5.526415642383847e-15,7.973656457327394e-15,7.501149875808006e-10,3.054126985238487e-29,6.357919729947884e-29,7.501149875808006e-10
36,603.4893482610561,2.315530579777292e-15,-6.3095375056267224e-15,-1.7306187917098467e-05,5.361681865883761e-30,3.9810263534910283e-29,2.99504140221925e-10,2.99504140221925e-10
37,603.5068385642977,-6.727788540261931e-16,-1.1102230246251565e-16,6.000453777171088e-15,4.526313864247976e-31,1.232595164407831e-32,3.600544553196678e-29,3.6470402870035657e-29
38,603.7616568659644,-5.542235967902399e-05,-5.851410899150315e-16,1.6204051989099355e-14,3.0716379523911042e-09,3.4239009510695097e-31,2.6257130086543477e-28,3.0716379523911042e-09
39,603.7803058007551,-1.9331197977030565e-15,-9.298337713981725e-05,-6.0581366029788e-15,3.736952152271506e-30,8.645908424325488e-09,3.670101910035151e-29,8.645908424325488e-09
40,651.4704115905412,4.398392079135624e-05,2.9306289654144196e-15,3.023108022595644e-14,1.9345852881802994e-09,8.588586132925992e-30,9.139182116282146e-28,1.9345852881802994e-09
41,655.9877949831547,-3.893803682264441e-15,-1.8492558829727446e-15,-7.844789675050257e-05,1.5161707116016117e-29,3.419747320709305e-30,6.154072504577511e-09,6.154072504577511e-09
42,656.001637406102,-2.6684383869213235e-15,3.215309962723012e-15,2.1510571102112408e-15,7.120563424795275e-30,1.0338218156385856e-29,4.627046691390334e-30,2.2085828272571466e-29
43,672.5543073101593,-2.3613923316734287e-16,-7.8939855738604e-15,-7.596651202028404e-06,5.576173744086072e-32,6.231500824031611e-29,5.770910948527959e-11,5.770910948527959e-11
44,672.5668492267407,2.52552641061586e-15,-2.4147350785597155e-15,-2.2206084991944265e-14,6.378283650718228e-30,5.830945499626795e-30,4.931102106694523e-28,5.053194398197973e-28
45,674.2520973025947,3.1602324923607483e-15,3.319573977818184e-15,4.7817187120352544e-05,9.987069405772627e-30,1.1019571394207642e-29,2.286483384102809e-09,2.286483384102809e-09
46,674.2551249137829,2.6798178683925695e-15,8.118505867571457e-16,1.4330126576674935e-14,7.181423807756095e-30,6.591013752179218e-31,2.053525277035253e-28,2.1319305288649932e-28
47,716.5827116838277,0.003162694936077249,3.2854622695696503e-15,7.264805076956371e-15,1.0002639258688673e-05,1.0794262324765758e-29,5.277739280617106e-29,1.0002639258688673e-05
48,716.6071352969127,-5.243623232382307e-15,0.0030383928863861997,1.3407489522467087e-16,2.7495584603179477e-29,9.231831332042262e-06,1.797607752950647e-32,9.231831332042262e-06
49,756.5728269688493,1.0590223585091762e-14,-0.0006430607805739397,-7.588066775795605e-15,1.1215283558223383e-28,4.135271675123646e-07,5.75787573939331e-29,4.135271675123646e-07
50,756.576764145948,-0.0006104923614479232,-7.285092167508025e-15,2.2273849431542203e-15,3.7270092338626164e-07,5.307256788908677e-29,4.961243684990129e-30,3.7270092338626164e-07
51,764.9358428690025,3.714591230874273e-15,-1.0336349831607805e-14,-3.970769331974825e-16,1.3798188012488047e-29,1.068401278413787e-28,1.5767009087751799e-31,1.2079598594474425e-28
52,765.3107842559536,-2.451279468036055e-15,8.110160898975108e-15,0.00018867955668886555,6.008771030415125e-30,6.577470980726473e-29,3.559997511230683e-08,3.559997511230683e-08
53,795.4739017550602,-1.371287601603956e-14,-0.00012985227158957002,8.373934276909516e-15,1.88042968631273e-28,1.6861612436971454e-08,7.012277527400009e-29,1.6861612436971454e-08
54,795.4802709913404,-0.0010789395071662616,-1.5242436003994372e-15,-7.348288644237755e-15,1.1641104601241755e-06,2.3233185533586393e-30,5.399734599903354e-29,1.1641104601241755e-06
55,797.4736545373668,-0.06679854306928316,-2.0338378563959497e-13,0.0,0.004462045356178878,4.136496426109272e-26,0.0,0.004462045356178878
56,797.4775170027793,2.5693486392918745e-14,0.07508723100734423,6.9667271279094e-15,6.601552430231007e-28,0.005638092260350276,4.8535286874748764e-29,0.005638092260350276
57,797.5727513065056,0.4866278493101412,1.0907441087097739e-11,6.349087922075114e-15,0.2368066637242135,1.189722710685079e-22,4.031091744224009e-29,0.2368066637242135
58,797.6033021551198,-1.0984749779043283e-11,0.4854391858724415,-4.124593094114046e-16,1.2066472770819146e-22,0.2356512031804988,1.7012268192013277e-31,0.2356512031804988
59,818.3156369997807,5.518860108494339e-16,1.856049087209724e-15,0.4994389980170328,3.0457816897130147e-31,3.44491821413205e-30,0.24943931274025768,0.24943931274025768
60,867.510189355731,-1.5339292336324917e-15,-7.4169430018943355e-16,4.213669724778546e-05,2.3529388937923632e-30,5.501104349334936e-31,1.7755012549515308e-09,1.7755012549515308e-09
61,867.5173847635621,9.748673217963267e-19,6.938893903907228e-18,-2.1603455393893314e-15,9.503662951063429e-37,4.81482486096809e-35,4.667092849559382e-30,4.6671419481742865e-30
62,901.9869623137752,5.336696190840287e-16,-9.71445146547012e-16,5.122220043650664e-15,2.848032623332923e-31,9.437056727497456e-31,2.623713817557661e-29,2.746564711065965e-29
63,901.9957687527951,-2.715601181424443e-15,-9.130303559594131e-16,-0.00013336664123750341,7.37448977655383e-30,8.336244309033727e-31,1.7786660994972946e-08,1.7786660994972946e-08
64,1003.648327960939,1.530648998467082e-14,-1.017322041607649e-06,-7.271247172660056e-15,2.3428863565082813e-28,1.034944136340755e-12,5.287103544591686e-29,1.0349441363407552e-12
65,1003.6583030617803,2.9011541445860163e-06,-2.8743169571676457e-15,9.43689570931383e-16,8.41669537064862e-12,8.261697970261473e-30,8.905500062846579e-31,8.41669537064862e-12
66,1041.0596138345816,5.988724429595803e-16,2.942091015256665e-15,1.6183144060673604e-15,3.5864820293637573e-31,8.655899542053993e-30,2.6189415168851535e-30,1.1633489261875523e-29
67,1041.0665601400822,-1.6219664500383146e-15,-6.210083070406603e-15,-6.72918252822563e-06,2.6307751650498926e-30,3.8565131741350703e-29,4.5281897498177085e-11,4.5281897498177085e-11
