frequency_cm-1,normalized_intensity
1.556978233034571133e+02,1.204819277108433798e-02
1.577464788732394254e+02,1.204819277108433798e-02
1.597951344430217659e+02,1.204819277108433798e-02
1.618437900128041065e+02,1.204819277108433798e-02
1.638924455825864186e+02,1.204819277108433798e-02
1.659411011523687591e+02,1.204819277108433798e-02
1.679897567221510997e+02,1.204819277108433798e-02
1.700384122919334118e+02,1.204819277108433798e-02
1.720870678617157523e+02,1.204819277108433798e-02
1.741357234314980929e+02,1.204819277108433798e-02
1.761843790012804050e+02,1.204819277108433798e-02
1.782330345710627455e+02,1.204819277108433798e-02
1.802816901408450576e+02,1.204819277108433798e-02
1.823303457106273981e+02,1.204819277108433798e-02
1.843790012804097387e+02,1.204819277108433798e-02
1.864276568501920508e+02,1.204819277108433798e-02
1.884763124199743913e+02,1.204819277108433798e-02
1.905249679897567319e+02,1.204819277108433798e-02
1.925736235595390440e+02,1.204819277108433798e-02
1.946222791293213845e+02,1.204819277108433798e-02
1.966709346991037251e+02,1.204819277108433798e-02
1.987195902688860372e+02,1.204819277108433798e-02
2.007682458386683777e+02,1.204819277108433798e-02
2.028169014084507182e+02,1.204819277108433798e-02
2.048655569782330303e+02,1.204819277108433798e-02
2.069142125480153709e+02,1.204819277108433798e-02
2.089628681177976830e+02,1.204819277108433798e-02
2.110115236875800235e+02,1.204819277108433798e-02
2.130601792573623641e+02,1.204819277108433798e-02
2.151088348271446762e+02,1.204819277108433798e-02
2.171574903969270167e+02,1.204819277108433798e-02
2.192061459667093573e+02,1.204819277108433798e-02
2.212548015364916694e+02,1.204819277108433798e-02
2.233034571062740099e+02,1.204819277108433798e-02
2.253521126760563504e+02,1.204819277108433798e-02
2.274007682458386626e+02,1.204819277108433798e-02
2.294494238156210031e+02,1.204819277108433798e-02
2.314980793854033152e+02,1.204819277108433798e-02
2.335467349551856557e+02,1.204819277108433798e-02
2.355953905249679963e+02,1.204819277108433798e-02
2.376440460947503084e+02,1.204819277108433798e-02
2.396927016645326489e+02,1.204819277108433798e-02
2.417413572343149895e+02,1.204819277108433798e-02
2.437900128040973016e+02,1.204819277108433798e-02
2.458386683738796421e+02,1.204819277108433798e-02
2.478873239436619826e+02,1.204819277108433798e-02
2.499359795134442948e+02,1.204819277108433798e-02
2.519846350832266353e+02,1.204819277108433798e-02
2.540332906530089758e+02,1.204819277108433798e-02
2.560819462227913164e+02,1.204819277108433798e-02
2.581306017925736001e+02,1.204819277108433798e-02
2.601792573623559406e+02,1.204819277108433798e-02
2.622279129321382811e+02,1.204819277108433798e-02
2.642765685019206217e+02,1.204819277108433798e-02
2.663252240717029622e+02,1.204819277108433798e-02
2.683738796414853027e+02,1.204819277108433798e-02
2.704225352112675864e+02,2.409638554216867595e-02
2.724711907810499270e+02,2.409638554216867595e-02
2.745198463508322675e+02,3.614457831325301046e-02
2.765685019206146080e+02,7.228915662650602092e-02
2.786171574903969486e+02,1.084337349397590383e-01
2.806658130601792323e+02,1.566265060240963902e-01
2.827144686299615728e+02,1.686746987951807109e-01
2.847631241997439133e+02,1.686746987951807109e-01
2.868117797695262539e+02,1.445783132530120418e-01
2.888604353393085944e+02,nan
2.909090909090909349e+02,nan
2.929577464788732186e+02,nan
2.950064020486555592e+02,nan
2.970550576184378997e+02,nan
2.991037131882202402e+02,nan
3.011523687580025808e+02,nan
3.032010243277848645e+02,nan
3.052496798975672050e+02,nan
3.072983354673495455e+02,nan
3.093469910371318861e+02,nan
3.113956466069142266e+02,nan
3.134443021766965671e+02,nan
3.154929577464788508e+02,1.204819277108433798e-02
3.175416133162611914e+02,1.204819277108433798e-02
3.195902688860435319e+02,1.204819277108433798e-02
3.216389244558258724e+02,1.204819277108433798e-02
3.236875800256082130e+02,1.204819277108433798e-02
3.257362355953904967e+02,1.204819277108433798e-02
3.277848911651728372e+02,1.204819277108433798e-02
3.298335467349551777e+02,1.204819277108433798e-02
3.318822023047375183e+02,1.204819277108433798e-02
3.339308578745198588e+02,1.204819277108433798e-02
3.359795134443021993e+02,1.204819277108433798e-02
3.380281690140844830e+02,1.204819277108433798e-02
3.400768245838668236e+02,1.204819277108433798e-02
3.421254801536491641e+02,1.204819277108433798e-02
3.441741357234315046e+02,1.204819277108433798e-02
3.462227912932138452e+02,1.204819277108433798e-02
3.482714468629961857e+02,1.204819277108433798e-02
3.503201024327784694e+02,1.204819277108433798e-02
3.523687580025608099e+02,1.204819277108433798e-02
3.544174135723431505e+02,1.204819277108433798e-02
3.564660691421254910e+02,1.204819277108433798e-02
3.585147247119078315e+02,1.204819277108433798e-02
3.605633802816901152e+02,1.204819277108433798e-02
3.626120358514724558e+02,1.204819277108433798e-02
3.646606914212547963e+02,1.204819277108433798e-02
3.667093469910371368e+02,1.204819277108433798e-02
3.687580025608194774e+02,1.204819277108433798e-02
3.708066581306018179e+02,1.204819277108433798e-02
3.728553137003841016e+02,1.204819277108433798e-02
3.749039692701664421e+02,1.204819277108433798e-02
3.769526248399487827e+02,1.204819277108433798e-02
3.790012804097311232e+02,1.204819277108433798e-02
3.810499359795134637e+02,1.204819277108433798e-02
3.830985915492957474e+02,1.204819277108433798e-02
3.851472471190780880e+02,1.204819277108433798e-02
3.871959026888604285e+02,1.204819277108433798e-02
3.892445582586427690e+02,1.204819277108433798e-02
3.912932138284251096e+02,1.204819277108433798e-02
3.933418693982074501e+02,1.204819277108433798e-02
3.953905249679897338e+02,1.204819277108433798e-02
3.974391805377720743e+02,1.204819277108433798e-02
3.994878361075544149e+02,1.204819277108433798e-02
4.015364916773367554e+02,1.204819277108433798e-02
4.035851472471190959e+02,1.204819277108433798e-02
4.056338028169014365e+02,1.204819277108433798e-02
4.076824583866837202e+02,1.204819277108433798e-02
4.097311139564660607e+02,1.204819277108433798e-02
4.117797695262484012e+02,1.204819277108433798e-02
4.138284250960307418e+02,1.204819277108433798e-02
4.158770806658130823e+02,1.204819277108433798e-02
4.179257362355953660e+02,1.204819277108433798e-02
4.199743918053777065e+02,1.204819277108433798e-02
4.220230473751600471e+02,1.204819277108433798e-02
4.240717029449423876e+02,1.204819277108433798e-02
4.261203585147247281e+02,1.204819277108433798e-02
4.281690140845070687e+02,1.204819277108433798e-02
4.302176696542893524e+02,1.204819277108433798e-02
4.322663252240716929e+02,1.204819277108433798e-02
4.343149807938540334e+02,1.204819277108433798e-02
