# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    5    36       1.67906565       2.14656094       2.22685012
    5    37       1.71904341       2.21580484       2.29310191
    5    38       1.75902116       2.28504875       2.34496644
    5    39       1.79899891       2.35429265       2.38423177
    6     0       0.27984428      -0.41546341       2.36515552
    6     1       0.31982203      -0.34621951       2.38862142
    6     2       0.35979978      -0.27697561       2.40225896
    6     3       0.39977754      -0.20773170       2.40675362
    6     4       0.43975529      -0.13848780       2.40225896
    6     5       0.47973304      -0.06924390       2.38862142
    6     6       0.51971080       0.00000000       2.36515552
    6     7       0.55968855       0.06924390       2.33066309
    6     8       0.59966630       0.13848780       2.28346530
    6     9       0.63964406       0.20773170       2.22151149
    6    10       0.67962181       0.27697561       2.14237149
    6    11       0.71959957       0.34621951       2.04290139
    6    12       0.75957732       0.41546341       1.91950406
    6    13       0.79955507       0.48470731       1.76780792
    6    14       0.83953283       0.55395121       1.58299831
    6    15       0.87951058       0.62319511       1.35938355
    6    16       0.91948833       0.69243901       1.09147489
    6    17       0.95946609       0.76168292       0.77722932
    6    18       0.99944384       0.83092682       0.41965054
    6    19       1.03942159       0.90017072       0.03350813
    6    20       1.07939935       0.96941462      -0.34701677
    6    21       1.11937710       1.03865852      -0.67252054
    6    22       1.15935486       1.10790242      -0.89261926
    6    23       1.19933261       1.17714632      -0.97047909
    6    24       1.23931036       1.24639022      -0.89261927
    6    25       1.27928812       1.31563413      -0.67252054
    6    26       1.31926587       1.38487803      -0.34701677
    6    27       1.35924362       1.45412193       0.03350813
    6    28       1.39922138       1.52336583       0.41965054
    6    29       1.43919913       1.59260973       0.77722932
    6    30       1.47917688       1.66185363       1.09147489
    6    31       1.51915464       1.73109753       1.35938355
    6    32       1.55913239       1.80034144       1.58299831
    6    33       1.59911015       1.86958534       1.76780792
    6    34       1.63908790       1.93882924       1.91950405
    6    35       1.67906565       2.00807314       2.04290138
    6    36       1.71904341       2.07731704       2.14237149
    6    37       1.75902116       2.14656094       2.22151149
    6    38       1.79899891       2.21580484       2.28346530
    6    39       1.83897667       2.28504875       2.33066309
    7     0       0.31982203      -0.48470731       2.30665900
    7     1       0.35979978      -0.41546341       2.33549955
    7     2       0.39977754      -0.34621951       2.35376297
    7     3       0.43975529      -0.27697561       2.36261128
    7     4       0.47973304      -0.20773170       2.36261128
    7     5       0.51971080      -0.13848780       2.35376297
    7     6       0.55968855      -0.06924390       2.33549955
    7     7       0.59966630       0.00000000       2.30665900
    7     8       0.63964406       0.06924390       2.26542265
    7     9       0.67962181       0.13848780       2.20935911
    7    10       0.71959957       0.20773170       2.13575071
    7    11       0.75957732       0.27697561       2.04084305
    7    12       0.79955507       0.34621951       1.92010517
    7    13       0.83953283       0.41546341       1.76780792
    7    14       0.87951058       0.48470731       1.57714858
    7    15       0.91948833       0.55395121       1.33907398
    7    16       0.95946609       0.62319511       1.04319992
    7    17       0.99944384       0.69243901       0.68022090
    7    18       1.03942159       0.76168292       0.24357419
    7    19       1.07939935       0.83092682      -0.25749198
    7    20       1.11937710       0.90017072      -0.78332547
    7    21       1.15935486       0.96941462      -1.26905148
    7    22       1.19933261       1.03865852      -1.64327493
    7    23       1.23931036       1.10790242      -1.84693304
    7    24       1.27928812       1.17714632      -1.84693304
    7    25       1.31926587       1.24639022      -1.64327493
    7    26       1.35924362       1.31563413      -1.26905148
    7    27       1.39922138       1.38487803      -0.78332548
    7    28       1.43919913       1.45412193      -0.25749198
    7    29       1.47917688       1.52336583       0.24357418
    7    30       1.51915464       1.59260973       0.68022090
    7    31       1.55913239       1.66185363       1.04319992
    7    32       1.59911015       1.73109753       1.33907397
    7    33       1.63908790       1.80034144       1.57714858
    7    34       1.67906565       1.86958534       1.76780792
    7    35       1.71904341       1.93882924       1.92010516
    7    36       1.75902116       2.00807314       2.04084305
    7    37       1.79899891       2.07731704       2.13575071
    7    38       1.83897667       2.14656094       2.20935911
    7    39       1.87895442       2.21580484       2.26542265
    8     0       0.35979978      -0.55395121       2.23588166
    8     1       0.39977754      -0.48470731       2.26985771
    8     2       0.43975529      -0.41546341       2.29228316
    8     3       0.47973304      -0.34621951       2.30499553
    8     4       0.51971080      -0.27697561       2.30914891
    8     5       0.55968855      -0.20773170       2.30499553
    8     6       0.59966630      -0.13848780       2.29228316
    8     7       0.63964406      -0.06924390       2.26985771
    8     8       0.67962181       0.00000000       2.23588166
    8     9       0.71959957       0.06924390       2.18764130
    8    10       0.75957732       0.13848780       2.12201666
    8    11       0.79955507       0.20773170       2.03478026
    8    12       0.83953283       0.27697561       1.92069831
    8    13       0.87951058       0.34621951       1.77295379
    8    14       0.91948833       0.41546341       1.58299832
    8    15       0.95946609       0.48470731       1.33907398
    8    16       0.99944384       0.55395121       1.02592081
    8    17       1.03942159       0.62319511       0.62637824
    8    18       1.07939935       0.69243901       0.12197608
    8    19       1.11937710       0.76168292      -0.48775156
    8    20       1.15935486       0.83092682      -1.16234874
    8    21       1.19933261       0.90017072      -1.82489893
    8    22       1.23931036       0.96941462      -2.38443667
    8    23       1.27928812       1.03865852      -2.75821867
    8    24       1.31926587       1.10790242      -2.88950477
    8    25       1.35924362       1.17714632      -2.75821867
    8    26       1.39922138       1.24639022      -2.38443667
    8    27       1.43919913       1.31563413      -1.82489893
    8    28       1.47917688       1.38487803      -1.16234874
    8    29       1.51915464       1.45412193      -0.48775156
    8    30       1.55913239       1.52336583       0.12197607
    8    31       1.59911015       1.59260973       0.62637823
    8    32       1.63908790       1.66185363       1.02592080
    8    33       1.67906565       1.73109753       1.33907397
    8    34       1.71904341       1.80034144       1.58299831
    8    35       1.75902116       1.86958534       1.77295379
    8    36       1.79899891       1.93882924       1.92069831
    8    37       1.83897667       2.00807314       2.03478026
    8    38       1.87895442       2.07731704       2.12201666
    8    39       1.91893217       2.14656094       2.18764130
    9     0       0.39977754      -0.62319511       2.15205570
    9     1       0.43975529      -0.55395121       2.19058511
    9     2       0.47973304      -0.48470731       2.21615131
    9     3       0.51971080      -0.41546341       2.23160818
    9     4       0.55968855      -0.34621951       2.23891328
    9     5       0.59966630      -0.27697561       2.23891328
    9     6       0.63964406      -0.20773170       2.23160819
    9     7       0.67962181      -0.13848780       2.21615131
    9     8       0.71959957      -0.06924390       2.19058511
    9     9       0.75957732       0.00000000       2.15205570
    9    10       0.79955507       0.06924390       2.09698900
    9    11       0.83953283       0.13848780       2.02087998
    9    12       0.87951058       0.20773170       1.91783842
    9    13       0.91948833       0.27697561       1.78042346
    9    14       0.95946609       0.34621951       1.59877526
    9    15       0.99944384       0.41546341       1.35938355
    9    16       1.03942159       0.48470731       1.04319993
    9    17       1.07939935       0.55395121       0.62637824
    9    18       1.11937710       0.62319511       0.07846425
    9    19       1.15935486       0.69243901      -0.61510300
    9    20       1.19933261       0.76168292      -1.42011614
    9    21       1.23931036       0.83092682      -2.25418670
    9    22       1.27928812       0.90017072      -3.01048454
    9    23       1.31926587       0.96941462      -3.58368498
    9    24       1.35924362       1.03865852      -3.89217951
    9    25       1.39922138       1.10790242      -3.89217951
    9    26       1.43919913       1.17714632      -3.58368498
    9    27       1.47917688       1.24639022      -3.01048454
    9    28       1.51915464       1.31563413      -2.25418670
    9    29       1.55913239       1.38487803      -1.42011614
    9    30       1.59911015       1.45412193      -0.61510301
    9    31       1.63908790       1.52336583       0.07846424
    9    32       1.67906565       1.59260973       0.62637823
    9    33       1.71904341       1.66185363       1.04319992
    9    34       1.75902116       1.73109753       1.35938355
    9    35       1.79899891       1.80034144       1.59877526
    9    36       1.83897667       1.86958534       1.78042346
    9    37       1.87895442       1.93882924       1.91783841
    9    38       1.91893217       2.00807314       2.02087997
    9    39       1.95890993       2.07731704       2.09698899
   10     0       0.43975529      -0.69243901       2.05483876
   10     1       0.47973304      -0.62319511       2.09663901
   10     2       0.51971080      -0.55395121       2.12368737
   10     3       0.55968855      -0.48470731       2.14005927
   10     4       0.59966630      -0.41546341       2.14868288
   10     5       0.63964406      -0.34621951       2.15138633
   10     6       0.67962181      -0.27697561       2.14868288
   10     7       0.71959957      -0.20773170       2.14005927
   10     8       0.75957732      -0.13848780       2.12368737
   10     9       0.79955507      -0.06924390       2.09663901
   10    10       0.83953283       0.00000000       2.05483876
   10    11       0.87951058       0.06924390       1.99340413
   10    12       0.91948833       0.13848780       1.90602857
   10    13       0.95946609       0.20773170       1.78478558
   10    14       0.99944384       0.27697561       1.61922355
   10    15       1.03942159       0.34621951       1.39513189
   10    16       1.07939935       0.41546341       1.09147489
   10    17       1.11937710       0.48470731       0.68022090
   10    18       1.15935486       0.55395121       0.12197608
   10    19       1.19933261       0.62319511      -0.61510300
   10    20       1.23931036       0.69243901      -1.51149295
   10    21       1.27928812       0.76168292      -2.48791377
   10    22       1.31926587       0.83092682      -3.42815122
   10    23       1.35924362       0.90017072      -4.20764098
   10    24       1.39922138       0.96941462      -4.72074272
   10    25       1.43919913       1.03865852      -4.89950200
   10    26       1.47917688       1.10790242      -4.72074273
   10    27       1.51915464       1.17714632      -4.20764098
   10    28       1.55913239       1.24639022      -3.42815122
   10    29       1.59911015       1.31563413      -2.48791377
   10    30       1.63908790       1.38487803      -1.51149295
   10    31       1.67906565       1.45412193      -0.61510301
   10    32       1.71904341       1.52336583       0.12197607
   10    33       1.75902116       1.59260973       0.68022090
   10    34       1.79899891       1.66185363       1.09147489
   10    35       1.83897667       1.73109753       1.39513189
   10    36       1.87895442       1.80034144       1.61922354
   10    37       1.91893217       1.86958534       1.78478558
   10    38       1.95890993       1.93882924       1.90602857
   10    39       1.99888768       2.00807314       1.99340413
   11     0       0.47973304      -0.76168292       1.94457532
